row_label_raw,row_label_full,col_0,Hoạt động khai thác trồng rừng,Kinh doanh thương mại gỗ,Bản thành phẩm sản xuất từ gỗ,Doanh thu cung cấp dịch vụ,Hoạt động kinh doanh bắt động sản,Khác,Loại trừ,Tổng cộng,numeric__Hoạt động khai thác trồng rừng,numeric__Kinh doanh thương mại gỗ,numeric__Bản thành phẩm sản xuất từ gỗ,numeric__Doanh thu cung cấp dịch vụ,numeric__Hoạt động kinh doanh bắt động sản,numeric__Khác,numeric__Loại trừ,numeric__Tổng cộng
Tại ngày 31 tháng 12 năm 2025 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2025 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2025 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2025 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2025 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2025 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2025 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2025 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2025 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2025 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2025 và cho năm tài chính kết thúc cùng ngày,,,,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,238.951.059.404,938.137.974.544,408.577.088.688,142.552.592.365,52.211.484.746,117.899.633.727,-,1.898.329.833.474,238951059404.0,938137974544.0,408577088688.0,142552592365.0,52211484746.0,117899633727.0,,1898329833474.0
Doanh thu thuần từ bán hàng cho các bộ phận,Doanh thu > Doanh thu thuần từ bán hàng cho các bộ phận,Doanh thu thuần từ bán hàng cho các bộ phận,-,-,-,,,2.347.074.777,(2.347.074.777),,,,,,,2347074777.0,-2347074777.0,
Tổng doanh thu thuần,Doanh thu > Tổng doanh thu thuần,Tổng doanh thu thuần,238.951.059.404,938.137.974.544,408.577.088.688,142.552.592.365,52.211.484.746,120.246.708.504,(2.347.074.777),1.898.329.833.474,238951059404.0,938137974544.0,408577088688.0,142552592365.0,52211484746.0,120246708504.0,-2347074777.0,1898329833474.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,74.001.380.282,9.359.466.020,62.413.411.595,85.216.970.858,39.691.513.295,62.492.451.447,-,333.175.193.497,74001380282.0,9359466020.0,62413411595.0,85216970858.0,39691513295.0,62492451447.0,,333175193497.0
"Thu nhập, chi phí không phân bổ (i)","Kết quả > Thu nhập, chi phí không phân bổ (i)","Thu nhập, chi phí không phân bổ (i)",,,,,,,,38.696.841.704,,,,,,,,38696841704.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,,371.872.035.201,,,,,,,,371872035201.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,,(47.663.830.422),,,,,,,,-47663830422.0
