row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 7),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 7),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 7),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 7),Đơn vị tính: VND > Phải thu ngắn hạn khác (Thuyết minh số 7),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 7),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 7),numeric__Đơn vị tính: VND > Phải thu ngắn hạn khác (Thuyết minh số 7)
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty liên kết,Phải thu cổ tức và lợi nhuận được chia,-,20.075.995.800,,,,20075995800.0
Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty liên kết,"Phải thu cổ tức và lợi nhuận được chia, phải thu về cổ phần hóa",935.811.705,935.811.705,,,935811705.0,935811705.0
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty liên kết,Phải thu cổ tức và lợi nhuận được chia,252.000.000,336.000.000,,,252000000.0,336000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.187.811.705,21.347.807.505,,,1187811705.0,21347807505.0
