row_label_raw,row_label_full,col_0,col_1,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__col_1,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Phí Mạnh Cường,Phí Mạnh Cường,Phí Mạnh Cường,Chủ tịch HĐQT,1.968.074.424,1.793.446.699,,1968074424.0,1793446699.0
Đỗ Ngọc Khanh,Đỗ Ngọc Khanh,Đỗ Ngọc Khanh,Phó chủ tịch HĐQT (Miễn nhiệm ngày 28 tháng 6 năm 2024),-,960.700.209,,,960700209.0
Đỗ Vinh Quang,Đỗ Vinh Quang,Đỗ Vinh Quang,Phó chủ tịch HĐQT(Bố nhiệm ngày 28 tháng 6 năm 2024),1.574.459.544,475.057.156,,1574459544.0,475057156.0
Lê Quốc Khánh,Lê Quốc Khánh,Lê Quốc Khánh,Tổng Giám đốc/Thành viên HĐQT,1.836.874.884,1.674.216.918,,1836874884.0,1674216918.0
Nguyễn Tấn Cường,Nguyễn Tấn Cường,Nguyễn Tấn Cường,Thành viên HĐQT (Miễn nhiệm ngày 28 tháng 6 năm 2024),-,136.382.049,,,136382049.0
Nguyễn Trung Kiên,Nguyễn Trung Kiên,Nguyễn Trung Kiên,Phó Tổng Giám đốc/Thành viên HĐQT,1.312.332.576,1.197.297.806,,1312332576.0,1197297806.0
Ngô Thị Thủy Mai,Ngô Thị Thủy Mai,Ngô Thị Thủy Mai,Phó Tổng Giám đốc/Thành viên HĐQT,1.312.332.576,951.528.775,,1312332576.0,951528775.0
Vũ Văn Hường,Vũ Văn Hường,Vũ Văn Hường,Phó Tổng Giám đốc,1.076.163.648,820.586.408,,1076163648.0,820586408.0
Nguyễn Khương Lâm,Nguyễn Khương Lâm,Nguyễn Khương Lâm,Phó Tổng Giám đốc,1.076.163.648,820.488.210,,1076163648.0,820488210.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,10.156.401.300,8.829.704.230,,10156401300.0,8829704230.0
