row_label_raw,row_label_full,Các khoản chi phí bán hàng phát sinh trong năm,Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,Đơn vị tính: VND > Năm trước > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Đơn vị tính: VND > Năm trước > Các khoản chi phí bán hàng phát sinh trong năm
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,8.910.738.577,6.812.322.165,8910738577.0,6812322165.0
Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,10.431.912.385,8.690.351.934,10431912385.0,8690351934.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,21.226.104.005,30.323.463.551,21226104005.0,30323463551.0
"Chi phí khấu hao, hao mòn","Chi phí khấu hao, hao mòn","Chi phí khấu hao, hao mòn",302.673.064,293.466.533,302673064.0,293466533.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,6.451.288.348,4.091.463.532,6451288348.0,4091463532.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,47.322.716.379,50.211.067.715,47322716379.0,50211067715.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí nhân công,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân công,Chi phí nhân công,158.159.797.138,141.366.248.520,158159797138.0,141366248520.0
"Chi phí khấu hao, hao mòn","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao, hao mòn","Chi phí khấu hao, hao mòn",9.666.193.089,9.962.427.179,9666193089.0,9962427179.0
"Thuế, phí, và lệ phí","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Thuế, phí, và lệ phí","Thuế, phí, và lệ phí",6.436.581.678,8.508.532.751,6436581678.0,8508532751.0
"Chi phí nguyên liệu, vật liệu","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",3.310.591.594,3.049.806.491,3310591594.0,3049806491.0
Chi phí dự phòng,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dự phòng,Chi phí dự phòng,8.705.204.878,19.690.836.681,8705204878.0,19690836681.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,34.822.282.485,33.796.031.177,34822282485.0,33796031177.0
Chi phí khác bằng tiền,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khác bằng tiền,Chi phí khác bằng tiền,48.596.431.689,62.196.776.057,48596431689.0,62196776057.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,269.697.082.551,278.570.658.856,269697082551.0,278570658856.0
