row_label_raw,row_label_full,Đơn vị tính: VND,Đơn vị tính: VND_1,Đơn vị tính: VND_2,Đơn vị tính: VND_3,Đơn vị tính: VND_4,Đơn vị tính: VND_5,Đơn vị tính: VND_6,Đơn vị tính: VND_7,Đơn vị tính: VND_8,numeric__Đơn vị tính: VND_1,numeric__Đơn vị tính: VND_2,numeric__Đơn vị tính: VND_3,numeric__Đơn vị tính: VND_4,numeric__Đơn vị tính: VND_5,numeric__Đơn vị tính: VND_6,numeric__Đơn vị tính: VND_7,numeric__Đơn vị tính: VND_8
,,,Vốn góp của chủ sở hữu,Vốn khác thuộc chủ sở hữu,Chênh lệch tỷ giá hồi đoái,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phần phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,,,,,,,,
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.500.000.000.000,9.015.428.100,(12.318.896.981),244.514.065.354,48.852.285,1.159.505.993.792,77.947.668.145,4.978.713.110.695,3500000000000.0,9015428100.0,-12318896981.0,244514065354.0,48852285.0,1159505993792.0,77947668145.0,4978713110695.0
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,358.101.022.053,(432.615.992),357.668.406.061,,,,,,358101022053.0,-432615992.0,357668406061.0
- Chia cổ tức,Năm trước > - Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(322.350.000.000),(1.008.368.865),(323.358.368.865),,,,,,-322350000000.0,-1008368865.0,-323358368865.0
"- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS","Năm trước > - Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS","- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS",-,-,-,-,-,(17.824.439.772),(699.976.243),(18.524.416.015),,,,,,-17824439772.0,-699976243.0,-18524416015.0
- Trích lập quỹ đầu tư phát triển,Năm trước > - Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,-,-,-,1.884.654.860,-,(1.884.654.860),-,-,,,,1884654860.0,,-1884654860.0,,
- Ănh hưởng do thoái vốn đầu tư vào công ty con,Năm trước > - Ănh hưởng do thoái vốn đầu tư vào công ty con,- Ănh hưởng do thoái vốn đầu tư vào công ty con,-,-,-,(349.641.628),-,349.641.628,-,-,,,,-349641628.0,,349641628.0,,
- Điều chỉnh khác,Năm trước > - Điều chỉnh khác,- Điều chỉnh khác,-,-,556.489.082,1.262.551.495,-,(10.640.305.096),-,(8.821.264.519),,,556489082.0,1262551495.0,,-10640305096.0,,-8821264519.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.500.000.000.000,9.015.428.100,(11.762.407.899),247.311.630.081,48.852.285,1.165.257.257.745,75.806.707.045,4.985.677.467.357,3500000000000.0,9015428100.0,-11762407899.0,247311630081.0,48852285.0,1165257257745.0,75806707045.0,4985677467357.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.500.000.000.000,9.015.428.100,(11.762.407.899),247.311.630.081,48.852.285,1.165.257.257.745,75.806.707.045,4.985.677.467.357,3500000000000.0,9015428100.0,-11762407899.0,247311630081.0,48852285.0,1165257257745.0,75806707045.0,4985677467357.0
- Giảm trích quỹ đầu tư phát triển (*),Năm nay > - Giảm trích quỹ đầu tư phát triển (*),- Giảm trích quỹ đầu tư phát triển (*),-,9.921.546.943,-,(12.777.546.943),-,2.856.000.000,-,-,,9921546943.0,,-12777546943.0,,2856000000.0,,
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,326.389.984.058,5.105.175.855,331.495.159.913,,,,,,326389984058.0,5105175855.0,331495159913.0
- Chia cổ tức (**),Năm nay > - Chia cổ tức (**),- Chia cổ tức (**),-,-,-,-,-,(226.800.000.000),(5.048.880.000),(231.848.880.000),,,,,,-226800000000.0,-5048880000.0,-231848880000.0
"- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS (**)","Năm nay > - Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS (**)","- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS (**)",-,-,-,-,-,(39.948.145.489),(1.230.102.945),(41.178.248.434),,,,,,-39948145489.0,-1230102945.0,-41178248434.0
- Trích quỹ đầu tư phát triển,Năm nay > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,-,646.908.349,-,(646.908.349),-,-,,,,646908349.0,,-646908349.0,,
- Ănh hưởng do thoái vốn đầu tư vào công ty con,Năm nay > - Ănh hưởng do thoái vốn đầu tư vào công ty con,- Ănh hưởng do thoái vốn đầu tư vào công ty con,-,-,-,-,-,-,3.615.804.504,3.615.804.504,,,,,,,3615804504.0,3615804504.0
- Điều chỉnh khác,Năm nay > - Điều chỉnh khác,- Điều chỉnh khác,-,113.987.611,27.706.500.958,(7.901.838.540),-,5.678.087.653,(2.617.260.814),22.979.476.868,,113987611.0,27706500958.0,-7901838540.0,,5678087653.0,-2617260814.0,22979476868.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.500.000.000.000,19.050.962.654,15.944.093.059,227.279.152.947,48.852.285,1.232.786.275.618,75.631.443.645,5.070.740.780.208,3500000000000.0,19050962654.0,15944093059.0,227279152947.0,48852285.0,1232786275618.0,75631443645.0,5070740780208.0
