row_label_raw,row_label_full,Ông Lê Quốc Khánh,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Vũ Văn Hường,Ông Vũ Văn Hường,Ông Vũ Văn Hường,Phó Tổng Giám đốc,
Bà Ngô Thị Thúy Mai,Bà Ngô Thị Thúy Mai,Bà Ngô Thị Thúy Mai,Phó Tổng Giám đốc,
Ông Nguyễn Trung Kiên,Ông Nguyễn Trung Kiên,Ông Nguyễn Trung Kiên,Phó Tổng Giám đốc,
Ông Nguyễn Khương Lâm,Ông Nguyễn Khương Lâm,Ông Nguyễn Khương Lâm,Phó Tổng Giám đốc,
