row_label_raw,row_label_full,VAY (tiếp theo),VAY (tiếp theo)_1,VAY (tiếp theo)_2,VAY (tiếp theo)_3,VAY (tiếp theo)_4,numeric__VAY (tiếp theo)_1,numeric__VAY (tiếp theo)_2,numeric__VAY (tiếp theo)_3,numeric__VAY (tiếp theo)_4
Các khoản vay ngân hàng ngắn hạn,Các khoản vay ngân hàng ngắn hạn,Các khoản vay ngân hàng ngắn hạn,Các khoản vay ngân hàng ngắn hạn,Các khoản vay ngân hàng ngắn hạn,Các khoản vay ngân hàng ngắn hạn,Các khoản vay ngân hàng ngắn hạn,,,,
Các khoản vay ngân hàng ngắn hạn được trình bày như sau:,Các khoản vay ngân hàng ngắn hạn được trình bày như sau:,Các khoản vay ngân hàng ngắn hạn được trình bày như sau:,Các khoản vay ngân hàng ngắn hạn được trình bày như sau:,Các khoản vay ngân hàng ngắn hạn được trình bày như sau:,Các khoản vay ngân hàng ngắn hạn được trình bày như sau:,Các khoản vay ngân hàng ngắn hạn được trình bày như sau:,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối năm(VND),Kỳ hạn trả gốc và lãi,Lãi suất,Hình thức đảm bảo,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam -Chi nhánh Hải Vân,Bên cho vay > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam -Chi nhánh Hải Vân,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam -Chi nhánh Hải Vân,45.967.439.639,Tối đa 12 tháng từ ngày ký hợp đồng. Ngày trả nợ gốc cuối cùng vào ngày 28 tháng 8 năm 2026. Lãi vay trả cùng ngày với nợ gốc.,Lãi suất theo từng lần nhận nợ. Lãi suất trong kỳ là 5%/năm.,"Hàng tồn kho, máy móc thiết bị, nhà xưởng khu công nghiệp Hòa Khánh, số quyền sử dụng đất số 39-41 Nguyễn Thái Học của Công ty Cổ phần Vinafor Đà Nẵng.",45967439639.0,,,
Ngân hàng TMCP Ngoại Thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Bên cho vay > Ngân hàng TMCP Ngoại Thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TMCP Ngoại Thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,29.170.306.032,Tối đa 6 tháng kể từ ngày giải ngân. Ngày trả nợ gốc cuối cùng là ngày 25 tháng 6 năm 2026. Lãi vay trả cùng ngày với nợ gốc.,"Lãi suất thả nổi có điều chỉnh. Lãi suất trong kỳ là 6,7%/năm.","Tài sản gắn liền với đất tại 97/2/20 Kinh Dương Vương, Phường Phú Lâm, Thành phố Hồ Chí Minh;Tài sản gắn liền với đất hình thành từ phương án đầu tư mở rộng kho thành phẩm và mái vòm tại địa điểm Khu vực 7, Phường Bùi Thị Xuân, Thành phố Quy Nhơn, tỉnh Bình Định;Hàng hóa luân chuyển trong quá trình sản xuất, kinh doanh, các khoản phải thu hình thành tử các hợp đồng vay vốn với ngân hàng, một số xe cổ và 5 lò sấy hơi nước kiểu nằm công suất 1.500kg hơi/h; và Số dư tiền gửi có kỳ hạn mở tại ngân hàng.",29170306032.0,,,
Ngân hàng TMCP Ngoại Thương - Chi nhánh Đà Nẵng,Bên cho vay > Ngân hàng TMCP Ngoại Thương - Chi nhánh Đà Nẵng,Ngân hàng TMCP Ngoại Thương - Chi nhánh Đà Nẵng,38.015.483.866,"Theo thời hạn của từng khoản vay, tối đa không quá 9 tháng kể từ ngày giải ngân. Ngày trả nợ gốc cuối cùng là ngày 1 tháng 3 năm 2026. Lãi vay trả cùng ngày với nợ gốc.","Lãi suất theo từng lần nhận nợ. Lãi suất trong kỳ là 5,2%/năm.","Tài sản đảm bảo khoản vay là nhà xưởng, máy móc thiết bị theo Hợp đồng thể chấp số 72/2014/VCB-ĐN ký ngày 26 tháng 4 năm 2014 và các phụ lực hợp đồng; vàQuyền tài sản từ các hợp đồng thuê và giá trị hàng tồn kho và nợ phải thu theo các hợp đồng thể chấp.",38015483866.0,,,
