row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu về lãi tiền gửi,Ngắn hạn > Phải thu về lãi tiền gửi,Phải thu về lãi tiền gửi,48.632.918.622,-,48.378.917.001,-,48632918622.0,,48378917001.0,
Phải thu các đội thi công và xưởng chế biến khai thác,Ngắn hạn > Phải thu các đội thi công và xưởng chế biến khai thác,Phải thu các đội thi công và xưởng chế biến khai thác,-,-,17.538.932.881,(16.368.641.409),,,17538932881.0,-16368641409.0
Tạm ứng cho cán bộ công nhân viên,Ngắn hạn > Tạm ứng cho cán bộ công nhân viên,Tạm ứng cho cán bộ công nhân viên,10.260.245.831,-,9.642.997.236,-,10260245831.0,,9642997236.0,
Phải thu về hợp tác kinh doanh (i),Ngắn hạn > Phải thu về hợp tác kinh doanh (i),Phải thu về hợp tác kinh doanh (i),63.900.000.000,(63.900.000.000),-,-,63900000000.0,-63900000000.0,,
Các khoản khác,Ngắn hạn > Các khoản khác,Các khoản khác,20.633.879.067,(1.462.548.218),15.432.472.250,(4.481.596.760),20633879067.0,-1462548218.0,15432472250.0,-4481596760.0
Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),Ngắn hạn > Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),1.187.811.705,-,21.347.807.505,-,1187811705.0,,21347807505.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,144.614.855.225,(65.362.548.218),112.341.126.873,(20.850.238.169),144614855225.0,-65362548218.0,112341126873.0,-20850238169.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Ký quỹ. ký cược dài hạn,Dài hạn > Ký quỹ. ký cược dài hạn,Ký quỹ. ký cược dài hạn,1.575.865.698,-,1.547.087.699,-,1575865698.0,,1547087699.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.575.865.698,-,1.547.087.699,-,1575865698.0,,1547087699.0,
