row_label_raw,row_label_full,col_0,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforimex Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông làm nghiệp Việt Nam,Công ty Cổ phần Giống Lâm nghiệp Trung ương,Công ty Liên doanh Nuôi và Phát triển Khỉ Việt Nam,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Công ty TNHH Nguyên liệu Giấy Quy Nhơn,numeric__Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforimex Hà Nội,numeric__Công ty Cổ phần Thương mại Lâm sản Hà Nội,numeric__Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,numeric__Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông làm nghiệp Việt Nam,numeric__Công ty Cổ phần Giống Lâm nghiệp Trung ương,numeric__Công ty Liên doanh Nuôi và Phát triển Khỉ Việt Nam,numeric__Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,numeric__Công ty TNHH Nguyên liệu Giấy Quy Nhơn
Giả trị đầu tư:,Giả trị đầu tư:,Giả trị đầu tư:,Giả trị đầu tư:,Giả trị đầu tư:,Giả trị đầu tư:,Giả trị đầu tư:,Giả trị đầu tư:,Giả trị đầu tư:,Giả trị đầu tư:,Giả trị đầu tư:,,,,,,,,
Số đầu năm,Giả trị đầu tư: > Số đầu năm,Số đầu năm,1.436.982.760,5.400.000.000,3.063.845.562,442.110.305,125.915.764,16.923.039.244,22.525.816.641,5.787.821.081,1436982760.0,5400000000.0,3063845562.0,442110305.0,125915764.0,16923039244.0,22525816641.0,5787821081.0
Biến động trong năm,Giả trị đầu tư: > Biến động trong năm,Biến động trong năm,-,-,-,-,(125.915.764),(3.085.210),-,-,,,,,-125915764.0,-3085210.0,,
Số cuối năm,Giả trị đầu tư: > Số cuối năm,Số cuối năm,1.436.982.760,5.400.000.000,3.063.845.562,442.110.305,-,16.919.954.034,22.525.816.641,5.787.821.081,1436982760.0,5400000000.0,3063845562.0,442110305.0,,16919954034.0,22525816641.0,5787821081.0
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,,,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,780.573.149,(5.400.000.000),1.254.063.343,1.505.349.847,(125.915.764),4.104.633.752,33.465.618.276,2.692.333.607,780573149.0,-5400000000.0,1254063343.0,1505349847.0,-125915764.0,4104633752.0,33465618276.0,2692333607.0
Biến động trong năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Biến động trong năm,Biến động trong năm,99.405.898,-,285.776.588,63.611.382,125.915.764,771.367.516,9.490.668.234,(422.718.134),99405898.0,,285776588.0,63611382.0,125915764.0,771367516.0,9490668234.0,-422718134.0
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,879.979.047,(5.400.000.000),1.539.839.931,1.568.961.229,-,4.876.001.268,42.956.286.510,2.269.615.473,879979047.0,-5400000000.0,1539839931.0,1568961229.0,,4876001268.0,42956286510.0,2269615473.0
Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,,,,,,,,
Số đầu năm,Giả trị còn lại: > Số đầu năm,Số đầu năm,2.217.555.909,-,4.317.908.905,1.947.460.152,-,21.027.672.996,55.991.434.917,8.480.154.688,2217555909.0,,4317908905.0,1947460152.0,,21027672996.0,55991434917.0,8480154688.0
Số cuối năm,Giả trị còn lại: > Số cuối năm,Số cuối năm,2.316.961.807,-,4.603.685.493,2.011.071.534,-,21.795.955.302,65.482.103.151,8.057.436.554,2316961807.0,,4603685493.0,2011071534.0,,21795955302.0,65482103151.0,8057436554.0
