row_label_raw,row_label_full,Bên cho vay > Công ty Cổ phần Tập đoàn GELEX,Số dư cuối kỳ > 460.625.000.000,Số dư đầu kỳ > 1.134.375.000.000,Ngày đáo hạn và kỳ trả lãi > Thời hạn vay 120 tháng. Trả gốc và lãi vay định kỳ hàng quý. Khế ước cuối cùng đáo hạn vào tháng 12 năm 2029,"Lãi suất%/năm > 9,5%",Tài sản đảm bảo > Tín chấp,numeric__Số dư cuối kỳ > 460.625.000.000,numeric__Số dư đầu kỳ > 1.134.375.000.000,numeric__Ngày đáo hạn và kỳ trả lãi > Thời hạn vay 120 tháng. Trả gốc và lãi vay định kỳ hàng quý. Khế ước cuối cùng đáo hạn vào tháng 12 năm 2029,"numeric__Lãi suất%/năm > 9,5%",numeric__Tài sản đảm bảo > Tín chấp
Tổng cộng,Tổng cộng,Tổng cộng,460.625.000.000,1.134.375.000.000,,,,460625000000.0,1134375000000.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,88.500.000.000,73.750.000.000,,,,88500000000.0,73750000000.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,372.125.000.000,1.060.625.000.000,,,,372125000000.0,1060625000000.0,,,
