row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,"Phương tiện vận tải, thiết bị truyền dẫn VND",Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,"numeric__Phương tiện vận tải, thiết bị truyền dẫn VND",numeric__Thiết bị văn phòng VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.436.593.741.152,6.892.385.471.290,274.805.717.034,26.312.605.216,9.630.097.534.692,2436593741152.0,6892385471290.0,274805717034.0,26312605216.0,9630097534692.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,79.741.629.383,18.188.775.705,1.471.652.637,99.402.057.725,,79741629383.0,18188775705.0,1471652637.0,99402057725.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,45.033.986.512,-,-,-,45.033.986.512,45033986512.0,,,,45033986512.0
Giảm do thoái vốn tại công ty con,NGUYÊN GIÁ > Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,(247.244.552.146),(2.843.377.974.741),(83.172.607.488),-,(3.173.795.134.375),-247244552146.0,-2843377974741.0,-83172607488.0,,-3173795134375.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(65.906.563),(14.357.750.337),(7.969.722.246),(191.678.173),(22.585.057.319),-65906563.0,-14357750337.0,-7969722246.0,-191678173.0,-22585057319.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.234.317.268.955,4.114.391.375.595,201.852.163.005,27.592.579.680,6.578.153.387.235,2234317268955.0,4114391375595.0,201852163005.0,27592579680.0,6578153387235.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,623.139.442.607,2.254.437.007.809,144.687.140.489,18.860.452.862,3.041.124.043.767,623139442607.0,2254437007809.0,144687140489.0,18860452862.0,3041124043767.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,114.720.695.292,386.952.936.131,23.634.820.677,2.102.693.721,527.411.145.821,114720695292.0,386952936131.0,23634820677.0,2102693721.0,527411145821.0
Giảm do thoái vốn tại công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thoái vốn tại công ty con,Giảm do thoái vốn tại công ty con,(46.467.390.403),(291.248.151.909),(16.085.502.896),-,(353.801.045.208),-46467390403.0,-291248151909.0,-16085502896.0,,-353801045208.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(65.906.563),(12.104.408.538),(4.277.034.700),(175.974.100),(16.623.323.901),-65906563.0,-12104408538.0,-4277034700.0,-175974100.0,-16623323901.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,691.326.840.933,2.338.037.383.493,147.959.423.570,20.787.172.483,3.198.110.820.479,691326840933.0,2338037383493.0,147959423570.0,20787172483.0,3198110820479.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.813.454.298.545,4.637.948.463.481,130.118.576.545,7.452.152.354,6.588.973.490.925,1813454298545.0,4637948463481.0,130118576545.0,7452152354.0,6588973490925.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.542.990.428.022,1.776.353.992.102,53.892.739.435,6.805.407.197,3.380.042.566.756,1542990428022.0,1776353992102.0,53892739435.0,6805407197.0,3380042566756.0
