row_label_raw,row_label_full,Đơn vị > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở giao dịch 1 > Ngân hàng Sinopac - Chi nhánh TP Hồ Chí Minh > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành An,Số dư cuối nămVND > 11.473.062.620 > 6.638.414.507 > 8.074.692.380 > -,Số dư đầu nămVND > 3.336.330.409 > - > 1.080.341.978.940,"Ngày đáo hạn và kỳ trả lãi > Kỳ hạn 84 tháng, bắt đầu từ ngày 30 tháng 12 năm 2022, thời gian ân hạn 18 tháng, trả lãi 3 tháng/lần > Kỳ hạn tối đa 84 tháng kể từ ngày tiếp theo của ngày giải ngân đầu tiên > Lãi vay trả hàng tháng. Khế ước cuối cùng đáo hạn ngày 26 tháng 10 năm 2026.","Lãi suất%/năm > 8% - 9% > 8,80% > 7,0% - 7,5%","Tài sản đảm bảo > Tài sản hình thành tử vốn vay > Toàn bộ tài sản hình thành trong tương lai của dự án Đầu tư xây dựng hạ tầng lưới điện cung cấp, khai thác, sử dụng quản lý vận hành hệ thống điện trung thế KCN Yên Mỹ, tỉnh Hưng Yên với tổng tài sản là 24.917.591.991 VND. > Bảo lãnh bởi Công ty Cổ phần Điện lực GELEX",numeric__Số dư cuối nămVND > 11.473.062.620 > 6.638.414.507 > 8.074.692.380 > -,numeric__Số dư đầu nămVND > 3.336.330.409 > - > 1.080.341.978.940,"numeric__Ngày đáo hạn và kỳ trả lãi > Kỳ hạn 84 tháng, bắt đầu từ ngày 30 tháng 12 năm 2022, thời gian ân hạn 18 tháng, trả lãi 3 tháng/lần > Kỳ hạn tối đa 84 tháng kể từ ngày tiếp theo của ngày giải ngân đầu tiên > Lãi vay trả hàng tháng. Khế ước cuối cùng đáo hạn ngày 26 tháng 10 năm 2026.","numeric__Lãi suất%/năm > 8% - 9% > 8,80% > 7,0% - 7,5%","numeric__Tài sản đảm bảo > Tài sản hình thành tử vốn vay > Toàn bộ tài sản hình thành trong tương lai của dự án Đầu tư xây dựng hạ tầng lưới điện cung cấp, khai thác, sử dụng quản lý vận hành hệ thống điện trung thế KCN Yên Mỹ, tỉnh Hưng Yên với tổng tài sản là 24.917.591.991 VND. > Bảo lãnh bởi Công ty Cổ phần Điện lực GELEX"
Ngân hàng Landesbank Baden - Wurttemberg,Ngân hàng Landesbank Baden - Wurttemberg,Ngân hàng Landesbank Baden - Wurttemberg,-,880.993.297.602,,,,,880993297602.0,,,
Ngân hàng TMCP Quân đội - Chi nhánh Đông Anh,Ngân hàng TMCP Quân đội - Chi nhánh Đông Anh,Ngân hàng TMCP Quân đội - Chi nhánh Đông Anh,-,3.979.849.293,,,,,3979849293.0,,,
,,,2.269.072.681.099,4.769.357.377.147,,,,2269072681099.0,4769357377147.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,1.405.553.809.093,920.714.104.918,,,,1405553809093.0,920714104918.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,863.518.872.006,3.848.643.272.229,,,,863518872006.0,3848643272229.0,,,
