row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > VND Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,Số đầu năm > VND Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > VND Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > VND Dự phòng
Cổ phiếu (i),Cổ phiếu (i),Cổ phiếu (i),49.991.114.316,50.981.205.000,-,-,-,-,49991114316.0,50981205000.0,,,,
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,-,-,-,1.610.906.301,(ii),-,,,,1610906301.0,,
,,,49.991.114.316,50.981.205.000,-,1.610.906.301,,-,49991114316.0,50981205000.0,,1610906301.0,,
