row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND",Quyền sử dụng đất VND,Tổng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Quyền sử dụng đất VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,177.369.030.728,38.405.287.440,215.774.318.168,177369030728.0,38405287440.0,215774318168.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,177.369.030.728,38.405.287.440,215.774.318.168,177369030728.0,38405287440.0,215774318168.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,65.469.800.392,11.072.640.939,76.542.441.331,65469800392.0,11072640939.0,76542441331.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,8.224.889.435,775.469.567,9.000.359.002,8224889435.0,775469567.0,9000359002.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,73.694.689.827,11.848.110.506,85.542.800.333,73694689827.0,11848110506.0,85542800333.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,111.899.230.336,27.332.646.501,139.231.876.837,111899230336.0,27332646501.0,139231876837.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,103.674.340.901,26.557.176.934,130.231.517.835,103674340901.0,26557176934.0,130231517835.0
