row_label_raw,row_label_full,Chỉ tiêu,Sản xuất và kinh doanh thiết bị điện,Sản xuất và kinh doanh năng lượng điện,Khác,Tổng,numeric__Sản xuất và kinh doanh thiết bị điện,numeric__Sản xuất và kinh doanh năng lượng điện,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
Tại ngày 31 tháng 12 năm 2023 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2023 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2023 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2023 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2023 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2023 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2023 và cho năm tài chính kết thúc cùng ngày,,,,
Doanh thu thuần,Tại ngày 31 tháng 12 năm 2023 và cho năm tài chính kết thúc cùng ngày > Doanh thu thuần,Doanh thu thuần,15.855.899.907.255,712.454.432.655,38.914.186.603,16.607.268.526.513,15855899907255.0,712454432655.0,38914186603.0,16607268526513.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Giá vốn hàng bán và dịch vụ cung cấp,Kết quả > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(14.173.481.147.431),(385.793.656.387),(22.062.417.483),(14.581.337.221.301),-14173481147431.0,-385793656387.0,-22062417483.0,-14581337221301.0
Lợi nhuận thuần trước thuế của bộ phận,Kết quả > Lợi nhuận thuần trước thuế của bộ phận,Lợi nhuận thuần trước thuế của bộ phận,1.682.418.759.824,326.660.776.268,16.851.769.120,2.025.931.305.212,1682418759824.0,326660776268.0,16851769120.0,2025931305212.0
Chi phí không phân bổ,Kết quả > Chi phí không phân bổ,Chi phí không phân bổ,,,,(1.058.841.111.266),,,,-1058841111266.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,967.090.193.946,,,,967090193946.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,(174.420.326.855),,,,-174420326855.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,792.669.867.091,,,,792669867091.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,6.516.293.152.363,2.123.478.774.145,130.231.517.835,8.770.003.444.343,6516293152363.0,2123478774145.0,130231517835.0,8770003444343.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,4.952.928.986.621,,,,4952928986621.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,13.722.932.430.964,,,,13722932430964.0
Nợ phải trả bộ phận,Tài sản và công nợ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,5.514.843.129.134,1.129.318.096.691,85.724.568.423,6.729.885.794.248,5514843129134.0,1129318096691.0,85724568423.0,6729885794248.0
Nợ phải trả không phân bổ,Tài sản và công nợ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,1.041.166.801.801,,,,1041166801801.0
Tổng nợ phải trả,Tài sản và công nợ > Tổng nợ phải trả,Tổng nợ phải trả,,,,7.771.052.596.049,,,,7771052596049.0
