row_label_raw,row_label_full,Đơn vị lưu ký > Công ty Cổ phần Chứng khoán MB,Số dư cuối năm VND > -,Số dư đầu năm VND > 400.000.000.000,Ngày đáo hạn > Tháng 12 năm 2026. Gốc trái phiếu đã được mua lại trước hạn toàn bộ trong năm 2023.,numeric__Số dư cuối năm VND > -,numeric__Số dư đầu năm VND > 400.000.000.000,numeric__Ngày đáo hạn > Tháng 12 năm 2026. Gốc trái phiếu đã được mua lại trước hạn toàn bộ trong năm 2023.
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,(4.438.299.157),,,-4438299157.0,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,395.561.700.843,,,395561700843.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
- Trái phiếu dài hạn đến hạn trả,Trong đó: > - Trái phiếu dài hạn đến hạn trả,- Trái phiếu dài hạn đến hạn trả,-,160.000.000.000,,,160000000000.0,
- Trái phiếu dài hạn,Trong đó: > - Trái phiếu dài hạn,- Trái phiếu dài hạn,-,235.561.700.843,,,235561700843.0,
