row_label_raw,row_label_full,col_0,Công ty Cổ phần Chế tạo máy điện Việt Nam - Hungari (i),Công ty Cổ phần Sản xuất Máy biển áp Truyền tải MEE,Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Phú Thạnh Mỹ,Tổng,numeric__Công ty Cổ phần Chế tạo máy điện Việt Nam - Hungari (i),numeric__Công ty Cổ phần Sản xuất Máy biển áp Truyền tải MEE,numeric__Công ty Cổ phần Thiết bị điện,numeric__Công ty Cổ phần Phú Thạnh Mỹ,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,VND,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,22.071.631.237,166.685.653.795,27.734.837.846,38.184.709.266,254.676.832.144,22071631237.0,166685653795.0,27734837846.0,38184709266.0,254676832144.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,22.071.631.237,166.685.653.795,27.734.837.846,38.184.709.266,254.676.832.144,22071631237.0,166685653795.0,27734837846.0,38184709266.0,254676832144.0
PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,,,,,,,,,,
Số dư đầu năm,PHÂN BỔ LỦY KẾ > Số dư đầu năm,Số dư đầu năm,10.720.506.599,66.674.261.520,14.683.149.451,8.811.855.985,100.889.773.555,10720506599.0,66674261520.0,14683149451.0,8811855985.0,100889773555.0
Phân bố trong năm,PHÂN BỔ LỦY KẾ > Phân bố trong năm,Phân bố trong năm,2.522.472.141,16.668.565.380,3.262.922.100,7.049.484.788,29.503.444.409,2522472141.0,16668565380.0,3262922100.0,7049484788.0,29503444409.0
Số dư cuối năm,PHÂN BỔ LỦY KẾ > Số dư cuối năm,Số dư cuối năm,13.242.978.740,83.342.826.900,17.946.071.551,15.861.340.773,130.393.217.964,13242978740.0,83342826900.0,17946071551.0,15861340773.0,130393217964.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,11.351.124.638,100.011.392.275,13.051.688.395,29.372.853.281,153.787.058.589,11351124638.0,100011392275.0,13051688395.0,29372853281.0,153787058589.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,8.828.652.497,83.342.826.895,9.788.766.295,22.323.368.493,124.283.614.180,8828652497.0,83342826895.0,9788766295.0,22323368493.0,124283614180.0
