row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ khác thuộc vốn chủ sở hữu VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích của cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích của cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,835.287.500.000,525.863.463.548,5.000.000.000,858.116.806.206,759.258.275.912,5.983.526.045.666,3000000000000.0,835287500000.0,525863463548.0,5000000000.0,858116806206.0,759258275912.0,5983526045666.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,880.462.911.763,91.142.019.801,971.604.931.564,,,,,880462911763.0,91142019801.0,971604931564.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,(780.000.000.000),(106.067.442.500),(886.067.442.500),,,,,-780000000000.0,-106067442500.0,-886067442500.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(8.625.261.056),(927.291.217),(9.552.552.273),,,,,-8625261056.0,-927291217.0,-9552552273.0
Thay đổi tỷ lệ lợi ích tại công ty con,Thay đổi tỷ lệ lợi ích tại công ty con,Thay đổi tỷ lệ lợi ích tại công ty con,-,-,-,-,(39.340.214.521),(100.068.585.479),(139.408.800.000),,,,,-39340214521.0,-100068585479.0,-139408800000.0
Công ty con tái phát hành cổ phiếu quỹ,Công ty con tái phát hành cổ phiếu quỹ,Công ty con tái phát hành cổ phiếu quỹ,-,-,-,-,9.555.774.371,66.252.102.994,75.807.877.365,,,,,9555774371.0,66252102994.0,75807877365.0
Thành lập công ty con Giảm khác,Thành lập công ty con Giảm khác,Thành lập công ty con Giảm khác,-,-,-,-,-,4.900.000.000,4.900.000.000,,,,,,4900000000.0,4900000000.0
Thành lập công ty con Giảm khác,Thành lập công ty con Giảm khác,Thành lập công ty con Giảm khác,-,-,-,-,(265.782.727),(119.885.089),(385.667.816),,,,,-265782727.0,-119885089.0,-385667816.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,835.287.500.000,525.863.463.548,5.000.000.000,919.904.234.036,714.369.194.422,6.000.424.392.006,3000000000000.0,835287500000.0,525863463548.0,5000000000.0,919904234036.0,714369194422.0,6000424392006.0
Công ty con tăng vốn trong năm,Công ty con tăng vốn trong năm,Công ty con tăng vốn trong năm,-,-,-,-,-,15.120.000.000,15.120.000.000,,,,,,15120000000.0,15120000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,745.377.314.586,47.292.552.505,792.669.867.091,,,,,745377314586.0,47292552505.0,792669867091.0
Cổ tức công bố (i),Cổ tức công bố (i),Cổ tức công bố (i),-,-,-,-,(600.000.000.000),(148.670.482.050),(748.670.482.050),,,,,-600000000000.0,-148670482050.0,-748670482050.0
"Trích quỹ khen thưởng, phúc lợi (ii)","Trích quỹ khen thưởng, phúc lợi (ii)","Trích quỹ khen thưởng, phúc lợi (ii)",-,-,-,-,(6.866.741.125),(1.120.029.268),(7.986.770.393),,,,,-6866741125.0,-1120029268.0,-7986770393.0
Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,-,-,-,-,5.573.746.147,(107.617.423.463),(102.043.677.316),,,,,5573746147.0,-107617423463.0,-102043677316.0
Thoái vốn tại công ty con,Thoái vốn tại công ty con,Thoái vốn tại công ty con,-,-,10.346.450.443,-,(10.346.450.443),-,-,,,10346450443.0,,-10346450443.0,,
Phân loại lại,Phân loại lại,Phân loại lại,-,-,-,-,1.856.912.129,(1.856.912.129),-,,,,,1856912129.0,-1856912129.0,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.000.000.000.000,835.287.500.000,536.209.913.991,5.000.000.000,1.055.499.015.330,517.516.900.017,5.949.513.329.338,3000000000000.0,835287500000.0,536209913991.0,5000000000.0,1055499015330.0,517516900017.0,5949513329338.0
