row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Giảm do thoái vốn tại công ty còn,Trong năm > Tăng,Trong năm > VND Giảm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Giảm do thoái vốn tại công ty còn,numeric__Trong năm > Tăng,numeric__Trong năm > VND Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,2.351.410.193.067,2.351.410.193.067,-,8.158.204.566.079,7.634.139.568.771,2.875.475.190.375,2.875.475.190.375,2351410193067.0,2351410193067.0,,8158204566079.0,7634139568771.0,2875475190375.0,2875475190375.0
Vay ngân hàng (i),Vay ngân hàng (i),Vay ngân hàng (i),2.347.533.664.067,2.347.533.664.067,-,8.143.579.566.079,7.623.993.039.771,2.867.120.190.375,2.867.120.190.375,2347533664067.0,2347533664067.0,,8143579566079.0,7623993039771.0,2867120190375.0,2867120190375.0
Vay đổi tượng khác,Vay đổi tượng khác,Vay đổi tượng khác,3.876.529.000,3.876.529.000,-,14.625.000.000,10.146.529.000,8.355.000.000,8.355.000.000,3876529000.0,3876529000.0,,14625000000.0,10146529000.0,8355000000.0,8355000000.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,1.154.464.104.918,1.154.464.104.918,(114.519.116.105),1.381.900.281.906,927.791.461.626,1.494.053.809.093,1.494.053.809.093,1154464104918.0,1154464104918.0,-114519116105.0,1381900281906.0,927791461626.0,1494053809093.0,1494053809093.0
Trái phiếu đến hạn thanh toán,Trái phiếu đến hạn thanh toán,Trái phiếu đến hạn thanh toán,160.000.000.000,160.000.000.000,-,-,160.000.000.000,-,-,160000000000.0,160000000000.0,,,160000000000.0,,
Vay dài hạn đến hạn trả ngân hàng,Vay dài hạn đến hạn trả ngân hàng,Vay dài hạn đến hạn trả ngân hàng,920.714.104.918,920.714.104.918,(114.519.116.105),1.293.400.281.906,694.041.461.626,1.405.553.809.093,1.405.553.809.093,920714104918.0,920714104918.0,-114519116105.0,1293400281906.0,694041461626.0,1405553809093.0,1405553809093.0
Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,73.750.000.000,73.750.000.000,-,88.500.000.000,73.750.000.000,88.500.000.000,88.500.000.000,73750000000.0,73750000000.0,,88500000000.0,73750000000.0,88500000000.0,88500000000.0
,,,3.505.874.297.985,3.505.874.297.985,(114.519.116.105),9.540.104.847.985,8.561.931.030.397,4.369.528.999.468,4.369.528.999.468,3505874297985.0,3505874297985.0,-114519116105.0,9540104847985.0,8561931030397.0,4369528999468.0,4369528999468.0
