row_label_raw,row_label_full,Chỉ tiêu,Sản xuất và kinh doanh thiết bị điện,Sản xuất và kinh doanh năng lượng điện,Khác,Tổng,numeric__Sản xuất và kinh doanh thiết bị điện,numeric__Sản xuất và kinh doanh năng lượng điện,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày,,,,
Doanh thu thuần,Tại ngày 31 tháng 12 năm 2022 và cho năm tài chính kết thúc cùng ngày > Doanh thu thuần,Doanh thu thuần,15.854.034.219.980,783.667.495.017,26.970.822.617,16.664.672.537.614,15854034219980.0,783667495017.0,26970822617.0,16664672537614.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Giá vốn hàng bán và dịch vụ cung cấp,Kết quả > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(14.110.623.549.989),(431.283.520.443),(8.774.645.696),(14.550.681.716.128),-14110623549989.0,-431283520443.0,-8774645696.0,-14550681716128.0
Lợi nhuận thuần trước thuế của bộ phận,Kết quả > Lợi nhuận thuần trước thuế của bộ phận,Lợi nhuận thuần trước thuế của bộ phận,1.743.410.669.991,352.383.974.574,18.196.176.921,2.113.990.821.486,1743410669991.0,352383974574.0,18196176921.0,2113990821486.0
Chi phí không phân bổ,Kết quả > Chi phí không phân bổ,Chi phí không phân bổ,,,,(993.636.726.863),,,,-993636726863.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,1.120.354.094.623,,,,1120354094623.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,(148.749.163.059),,,,-148749163059.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,971.604.931.564,,,,971604931564.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,8.463.799.057.129,5.325.368.126.563,139.231.876.837,13.928.399.060.529,8463799057129.0,5325368126563.0,139231876837.0,13928399060529.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,3.491.224.099.497,,,,3491224099497.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,17.419.623.160.026,,,,17419623160026.0
Nợ phải trả bộ phận,Tài sản và công nợ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,6.920.810.142.198,3.272.112.603.467,108.584.453.343,10.301.507.199.008,6920810142198.0,3272112603467.0,108584453343.0,10301507199008.0
Nợ phải trả không phân bổ,Tài sản và công nợ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,1.114.672.521.734,,,,1114672521734.0
Tổng nợ phải trả,Tài sản và công nợ > Tổng nợ phải trả,Tổng nợ phải trả,,,,11.416.179.720.742,,,,11416179720742.0
