row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Giảm do thoái vốn tại công ty côn,Trong năm > Tăng,Trong năm > VND Giảm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Giảm do thoái vốn tại công ty côn,numeric__Trong năm > Tăng,numeric__Trong năm > VND Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Trái phiếu phát hành (i),Trái phiếu phát hành (i),Trái phiếu phát hành (i),235.561.700.843,235.561.700.843,-,4.438.299.157,240.000.000.000,-,-,235561700843.0,235561700843.0,,4438299157.0,240000000000.0,,
Vay ngân hàng (ii),Vay ngân hàng (ii),Vay ngân hàng (ii),3.848.643.272.229,3.848.643.272.229,(1.775.754.467.312),141.516.760.710,1.350.886.693.621,863.518.872.006,863.518.872.006,3848643272229.0,3848643272229.0,-1775754467312.0,141516760710.0,1350886693621.0,863518872006.0,863518872006.0
Vay các bên liên quan (iii) (Chỉ tiết tại Thuyết minh số 38),Vay các bên liên quan (iii) (Chỉ tiết tại Thuyết minh số 38),Vay các bên liên quan (iii) (Chỉ tiết tại Thuyết minh số 38),1.060.625.000.000,1.060.625.000.000,-,-,688.500.000.000,372.125.000.000,372.125.000.000,1060625000000.0,1060625000000.0,,,688500000000.0,372125000000.0,372125000000.0
Vay đổi tượng khác,Vay đổi tượng khác,Vay đổi tượng khác,15.000.000.000,15.000.000.000,-,30.000.000.000,45.000.000.000,-,-,15000000000.0,15000000000.0,,30000000000.0,45000000000.0,,
,,,5.159.829.973.072,5.159.829.973.072,(1.775.754.467.312),175.955.059.867,2.324.386.693.621,1.235.643.872.006,1.235.643.872.006,5159829973072.0,5159829973072.0,-1775754467312.0,175955059867.0,2324386693621.0,1235643872006.0,1235643872006.0
