row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TSCĐ khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,9.013.108.110.805,22.873.363.878.986,573.514.811.531,74.498.258.794,442.672.988.245,32.977.158.048.361,9013108110805.0,22873363878986.0,573514811531.0,74498258794.0,442672988245.0,32977158048361.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,6.020.164.545,-,3.207.381.819,-,9.227.546.364,,6020164545.0,,3207381819.0,,9227546364.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,164.368.969.800,84.092.980.335,-,-,-,248.461.950.135,164368969800.0,84092980335.0,,,,248461950135.0
- Phân loại lại nhóm TSCĐ,NGUYÊN GIÁ > - Phân loại lại nhóm TSCĐ,- Phân loại lại nhóm TSCĐ,(4.445.374.753),441.922.890.514,(241.038.199.933),(26.466.101.263),(169.973.214.565),-,-4445374753.0,441922890514.0,-241038199933.0,-26466101263.0,-169973214565.0,
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,-,-,2.840.206.823,248.948.052,-,3.089.154.875,,,2840206823.0,248948052.0,,3089154875.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(535.756.350),(2.343.979.740),-,(68.950.000),-,(2.948.686.090),-535756350.0,-2343979740.0,,-68950000.0,,-2948686090.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,(38.026.049.409),(121.556.721.843),(2.411.962.727),(213.611.688),-,(162.208.345.667),-38026049409.0,-121556721843.0,-2411962727.0,-213611688.0,,-162208345667.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.134.469.900.093,23.281.499.212.797,332.904.855.694,51.205.925.714,272.699.773.680,33.072.779.667.978,9134469900093.0,23281499212797.0,332904855694.0,51205925714.0,272699773680.0,33072779667978.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,1.153.094.892.343,7.811.756.006.727,235.239.251.341,48.888.182.495,177.424.564.434,9.426.402.897.340,1153094892343.0,7811756006727.0,235239251341.0,48888182495.0,177424564434.0,9426402897340.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,413.460.884.614,1.437.368.922.891,34.006.623.294,8.921.237.390,31.154.426.016,1.924.912.094.205,413460884614.0,1437368922891.0,34006623294.0,8921237390.0,31154426016.0,1924912094205.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÒN > - Hao mòn trong năm,- Hao mòn trong năm,1.019.820.076,-,-,-,988.464.264,2.008.284.340,1019820076.0,,,,988464264.0,2008284340.0
- Phân loại lại nhóm TSCĐ,GIÁ TRỊ HAO MÒN > - Phân loại lại nhóm TSCĐ,- Phân loại lại nhóm TSCĐ,(1.353.608.102),151.649.605.273,(63.751.226.775),(16.668.030.982),(69.876.739.414),-,-1353608102.0,151649605273.0,-63751226775.0,-16668030982.0,-69876739414.0,
- Tăng khác,GIÁ TRỊ HAO MÒN > - Tăng khác,- Tăng khác,-,-,1.109.471.144,60.650.091,-,1.170.121.235,,,1109471144.0,60650091.0,,1170121235.0
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(206.064.286),(1.209.437.941),-,(68.950.000),-,(1.484.452.227),-206064286.0,-1209437941.0,,-68950000.0,,-1484452227.0
- Giảm khác,GIÁ TRỊ HAO MÒN > - Giảm khác,- Giảm khác,(30.550.347),-,(1.088.701.057),(58.649.350),-,(1.177.900.754),-30550347.0,,-1088701057.0,-58649350.0,,-1177900754.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN > Số dư cuối năm,Số dư cuối năm,1.565.985.374.298,9.399.565.096.950,205.515.417.947,41.074.439.644,139.690.715.300,11.351.831.044.139,1565985374298.0,9399565096950.0,205515417947.0,41074439644.0,139690715300.0,11351831044139.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
