row_label_raw,row_label_full,col_0,31/12/2016(VND) > Giá trị,31/12/2016(VND) > Số có khả năng trả nợ,15/01/2016(VND) > Giá trị,15/01/2016(VND) > Số có khả năng trả nợ,numeric__31/12/2016(VND) > Giá trị,numeric__31/12/2016(VND) > Số có khả năng trả nợ,numeric__15/01/2016(VND) > Giá trị,numeric__15/01/2016(VND) > Số có khả năng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,1.648.288.783.056,1.648.288.783.056,2.132.966.795.957,2.132.966.795.957,1648288783056.0,1648288783056.0,2132966795957.0,2132966795957.0
Công ty Kho vận và cảng Cẩm Phả - Vinacomin,Công ty Kho vận và cảng Cẩm Phả - Vinacomin,Công ty Kho vận và cảng Cẩm Phả - Vinacomin,463.981.497.686,463.981.497.686,292.431.575.354,292.431.575.354,463981497686.0,463981497686.0,292431575354.0,292431575354.0
Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,152.534.868.663,152.534.868.663,186.203.196.129,186.203.196.129,152534868663.0,152534868663.0,186203196129.0,186203196129.0
Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,84.759.333.730,84.759.333.730,60.448.391.305,60.448.391.305,84759333730.0,84759333730.0,60448391305.0,60448391305.0
Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng Công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng Công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng Công ty Sông Đà,524.772.038.806,524.772.038.806,556.626.952.526,556.626.952.526,524772038806.0,524772038806.0,556626952526.0,556626952526.0
Công ty TNHH công trình cấp Nhĩ Tân,Công ty TNHH công trình cấp Nhĩ Tân,Công ty TNHH công trình cấp Nhĩ Tân,28.570.420.048,28.570.420.048,627.052.767.446,627.052.767.446,28570420048.0,28570420048.0,627052767446.0,627052767446.0
Nhà thầu Tổng Công ty thiết bị nặng Trung Quốc (DA NS),Nhà thầu Tổng Công ty thiết bị nặng Trung Quốc (DA NS),Nhà thầu Tổng Công ty thiết bị nặng Trung Quốc (DA NS),140.082.512.898,140.082.512.898,138.545.846.456,138.545.846.456,140082512898.0,140082512898.0,138545846456.0,138545846456.0
LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,10.467.633.422,10.467.633.422,63.567.142.902,63.567.142.902,10467633422.0,10467633422.0,63567142902.0,63567142902.0
CN TCT Đông Bắc - Công ty Đầu tư xây dựng và thương mại,CN TCT Đông Bắc - Công ty Đầu tư xây dựng và thương mại,CN TCT Đông Bắc - Công ty Đầu tư xây dựng và thương mại,29.903.812.372,29.903.812.372,-,-,29903812372.0,29903812372.0,,
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,213.216.665.431,213.216.665.431,208.090.923.839,208.090.923.839,213216665431.0,213216665431.0,208090923839.0,208090923839.0
Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,626.944.266.919,626.944.266.919,618.416.284.351,618.416.284.351,626944266919.0,626944266919.0,618416284351.0,618416284351.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,391.979.361.677,391.979.361.677,386.647.479.181,386.647.479.181,391979361677.0,391979361677.0,386647479181.0,386647479181.0
Công ty TNHH công trình cấp Nhĩ Tân,Công ty TNHH công trình cấp Nhĩ Tân,Công ty TNHH công trình cấp Nhĩ Tân,234.964.905.242,234.964.905.242,231.768.805.170,231.768.805.170,234964905242.0,234964905242.0,231768805170.0,231768805170.0
Công,Công,Công,2.275.233.049.975,2.275.233.049.975,2.751.383.080.308,2.751.383.080.308,2275233049975.0,2275233049975.0,2751383080308.0,2751383080308.0
