row_label_raw,row_label_full,col_0,Từ 15/01/2016đến 31/12/2016(VND),numeric__Từ 15/01/2016đến 31/12/2016(VND)
Lương thường của Ban Giám đốc,Lương thường của Ban Giám đốc,Lương thường của Ban Giám đốc,2.582.580.645,2582580645.0
Thù lao của Hội đồng Quản trị,Thù lao của Hội đồng Quản trị,Thù lao của Hội đồng Quản trị,312.000.000,312000000.0
Cộng,Cộng,Cộng,2.894.580.645,2894580645.0
