row_label_raw,row_label_full,-,Mệnh giá,31/12/2016(VND) > Giá trị > 1.005.699.200.000,"31/12/2016(VND) > Lãi suất năm > 9,43%",31/12/2016(VND) > Kỳ hạn > 5 năm,01/01/2016(VND) > Giá trị > 1.004.624.000.000,"01/01/2016(VND) > Lãi suất năm > 9,5%",01/01/2016(VND) > Kỳ hạn > 5 năm,numeric__Mệnh giá,numeric__31/12/2016(VND) > Giá trị > 1.005.699.200.000,"numeric__31/12/2016(VND) > Lãi suất năm > 9,43%",numeric__31/12/2016(VND) > Kỳ hạn > 5 năm,numeric__01/01/2016(VND) > Giá trị > 1.004.624.000.000,"numeric__01/01/2016(VND) > Lãi suất năm > 9,5%",numeric__01/01/2016(VND) > Kỳ hạn > 5 năm
-,-,-,Chiết khấu,-,-,-,-,-,-,,,,,,,
-,-,-,Phụ trội,-,-,-,-,-,-,,,,,,,
,,,Cộng,1.005.699.200.000,,,1.004.624.000.000,,,,1005699200000.0,,,1004624000000.0,,
