row_label_raw,row_label_full,col_0,(VND),(VND)_1,(VND)_2,(VND)_3,(VND)_4,(VND)_5,numeric__(VND),numeric__(VND)_1,numeric__(VND)_2,numeric__(VND)_3,numeric__(VND)_4,numeric__(VND)_5
,,,Giá gốc,Giá trị hợp lý,Dự phòng (*),Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,-,-,-,-,-,-,,,,,,
Dài hạn,Ngắn hạn > Dài hạn,Dài hạn,985.091.726.279,797.472.925.996,(187.618.800.283),941.247.404.569,941.247.404.569,-,985091726279.0,797472925996.0,-187618800283.0,941247404569.0,941247404569.0,
Đầu tư vào đơn vị khác:,Ngắn hạn > Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,985.091.726.279,797.472.925.996,(187.618.800.283),941.247.404.569,941.247.404.569,-,985091726279.0,797472925996.0,-187618800283.0,941247404569.0,941247404569.0,
- Công ty TNHH Điện lực Vĩnh Tân,Ngắn hạn > - Công ty TNHH Điện lực Vĩnh Tân,- Công ty TNHH Điện lực Vĩnh Tân,146.750.416.279,146.750.416.279,-,102.906.094.569,102.906.094.569,-,146750416279.0,146750416279.0,,102906094569.0,102906094569.0,
- Công ty CP Nhiệt điện Hải Phòng,Ngắn hạn > - Công ty CP Nhiệt điện Hải Phòng,- Công ty CP Nhiệt điện Hải Phòng,360.500.000.000,360.500.000.000,-,360.500.000.000,360.500.000.000,-,360500000000.0,360500000000.0,,360500000000.0,360500000000.0,
- Công ty CP Nhiệt điện Quảng Ninh,Ngắn hạn > - Công ty CP Nhiệt điện Quảng Ninh,- Công ty CP Nhiệt điện Quảng Ninh,477.841.310.000,290.222.509.717,(187.618.800.283),477.841.310.000,477.841.310.000,-,477841310000.0,290222509717.0,-187618800283.0,477841310000.0,477841310000.0,
Cộng,Ngắn hạn > Cộng,Cộng,985.091.726.279,797.472.925.996,(187.618.800.283),941.247.404.569,941.247.404.569,-,985091726279.0,797472925996.0,-187618800283.0,941247404569.0,941247404569.0,
Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2016,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2016,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2016,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2016,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2016,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2016,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2016,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2016,Tóm tắt tình hình hoạt động của các công ty mà Tổng Công ty góp vốn tại ngày 31/12/2016,,,,,,
Tên công ty,Tên công ty,Tên công ty,Nơi thành lập và hoạt động,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,Hoạt động kinh doanh chính,,,,,,
Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,,,,,,
Công ty TNHH Điện lực Vĩnh Tân,Đầu tư vào đơn vị khác: > Công ty TNHH Điện lực Vĩnh Tân,Công ty TNHH Điện lực Vĩnh Tân,Bình Thuận,Bình Thuận,5%,5%,"Sản xuất, truyền tải và phân phối điện","Sản xuất, truyền tải và phân phối điện",,,0.05,0.05,,
Công ty CP Nhiệt điện Hải Phòng,Đầu tư vào đơn vị khác: > Công ty CP Nhiệt điện Hải Phòng,Công ty CP Nhiệt điện Hải Phòng,Hải Phòng,Hải Phòng,"7,21%","7,21%","Sản xuất, truyền tải và phân phối điện","Sản xuất, truyền tải và phân phối điện",,,0.0721,0.0721,,
Công ty CP Nhiệt điện Quảng Ninh,Đầu tư vào đơn vị khác: > Công ty CP Nhiệt điện Quảng Ninh,Công ty CP Nhiệt điện Quảng Ninh,Quảng Ninh,Quảng Ninh,"10,62%","10,62%","Sản xuất, truyền tải và phân phối điện","Sản xuất, truyền tải và phân phối điện",,,0.10619999999999999,0.10619999999999999,,
