row_label_raw,row_label_full,col_0,Từ 15/01/2016đến 31/12/2016(VND),Từ 01/01/2016 đếnt14/01/2016(VND),numeric__Từ 15/01/2016đến 31/12/2016(VND),numeric__Từ 01/01/2016 đếnt14/01/2016(VND)
Giá vốn than bán,Giá vốn than bán,Giá vốn than bán,65.062.203.753,-,65062203753.0,
Giá vốn điện,Giá vốn điện,Giá vốn điện,7.919.519.232.941,190.729.579.764,7919519232941.0,190729579764.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,44.780.063.713,1.017.738.245,44780063713.0,1017738245.0
Cộng,Cộng,Cộng,8.029.361.500.407,191.747.318.009,8029361500407.0,191747318009.0
