row_label_raw,row_label_full,col_0,Từ 15/01/2016đến 31/12/2016(VND),Từ 01/01/2016đến 14/01/2016(VND),numeric__Từ 15/01/2016đến 31/12/2016(VND),numeric__Từ 01/01/2016đến 14/01/2016(VND)
Xử lý thanh lý tài sản tại Cao Ngạn,Xử lý thanh lý tài sản tại Cao Ngạn,Xử lý thanh lý tài sản tại Cao Ngạn,1.284.419.217,637.072.526,1284419217.0,637072526.0
Tiền thuê đất từ 2012-2015 (Cao Ngạn),Tiền thuê đất từ 2012-2015 (Cao Ngạn),Tiền thuê đất từ 2012-2015 (Cao Ngạn),5.070.096.706,-,5070096706.0,
Chi phí khác,Chi phí khác,Chi phí khác,7.425.859.390,556.248.000,7425859390.0,556248000.0
Cộng,Cộng,Cộng,13.780.375.313,1.193.320.526,13780375313.0,1193320526.0
