row_label_raw,row_label_full,CHỈ TIÊU,Mã số,TM,Từ 15/01/2016đền 31/12/2016,Từ 01/01/2016đền 14/01/2016,numeric__Mã số,numeric__TM,numeric__Từ 15/01/2016đền 31/12/2016,numeric__Từ 01/01/2016đền 14/01/2016
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,9.384.313.539.225,(628.240.250.695),1.0,61.0,9384313539225.0,-628240250695.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
Doanh thu thuần từ bán hàng hoá và cung cấp dịch vụ,Doanh thu thuần từ bán hàng hoá và cung cấp dịch vụ,Doanh thu thuần từ bán hàng hoá và cung cấp dịch vụ,10,6.2,9.384.313.539.225,(628.240.250.695),10.0,62.0,9384313539225.0,-628240250695.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,6.3,8.029.361.500.407,191.747.318.009,11.0,63.0,8029361500407.0,191747318009.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.354.952.038.818,(819.987.568.704),20.0,,1354952038818.0,-819987568704.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,6.4,43.811.644.431,32.136.557.666,21.0,64.0,43811644431.0,32136557666.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,6.5,641.506.277.922,(710.470.562.598),22.0,65.0,641506277922.0,-710470562598.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,846.531.743.267,24.181.265.853,23.0,,846531743267.0,24181265853.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,6.8,2.015.565.664,-,25.0,68.0,2015565664.0,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,6.8,203.511.574.146,5.725.932.594,26.0,68.0,203511574146.0,5725932594.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,551.730.265.517,(83.106.381.034),30.0,,551730265517.0,-83106381034.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,6.6,808.218.691,(259.543.637),31.0,66.0,808218691.0,-259543637.0
Chi phí khác,Chi phí khác,Chi phí khác,32,6.7,13.780.375.313,1.193.320.526,32.0,67.0,13780375313.0,1193320526.0
Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),Lợi nhuận khác (40=31-32),40,,(12.972.156.622),(1.452.864.163),40.0,,-12972156622.0,-1452864163.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,538.758.108.895,(84.559.245.197),50.0,,538758108895.0,-84559245197.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,,-,-,51.0,,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,,24.944.730.756,-,52.0,,24944730756.0,
Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),Lợi nhuận sau thuế TNDN (60=50-51-52),60,,513.813.378.139,(84.559.245.197),60.0,,513813378139.0,-84559245197.0
Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,61,,42.455.174.533,(33.022.126.651),61.0,,42455174533.0,-33022126651.0
Lợi ích sau thuế của cổ đông của công ty mẹ,Lợi ích sau thuế của cổ đông của công ty mẹ,Lợi ích sau thuế của cổ đông của công ty mẹ,62,,471.358.203.606,(51.537.118.546),62.0,,471358203606.0,-51537118546.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,6.10,693,-,70.0,610.0,693.0,
