row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Từ 15/01/2016đến 31/12/2016,Từ 01/01/2016đến 14/01/2016,numeric__Mã số,numeric__Từ 15/01/2016đến 31/12/2016,numeric__Từ 01/01/2016đến 14/01/2016
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD,,,
Lợi nhuận trước thuếĐiều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lợi nhuận trước thuếĐiều chỉnh cho các khoản,Lợi nhuận trước thuếĐiều chỉnh cho các khoản,01,538.758.108.895,(84.559.245.197),1.0,538758108895.0,-84559245197.0
Khấu hao TSCĐ và BĐSĐT,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,1.926.263.683.022,57.119.388.699,2.0,1926263683022.0,57119388699.0
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Các khoản dự phòng,Các khoản dự phòng,03,192.678.987.651,(209.511.111.313),3.0,192678987651.0,-209511111313.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,198.024.246.949,(41.756.746.151),4.0,198024246949.0,-41756746151.0
Lãi lỗ từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,(14.965.877.064),(25.235.000.000),5.0,-14965877064.0,-25235000000.0
Chi phí lãi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Chi phí lãi vay,Chi phí lãi vay,06,846.531.743.267,24.181.265.853,6.0,846531743267.0,24181265853.0
Các khoản điều chỉnh khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,-,73.672.668.781,7.0,,73672668781.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,3.687.290.892.720,(206.088.779.328),8.0,3687290892720.0,-206088779328.0
(Tăng)/Giảm các khoản phải thu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > (Tăng)/Giảm các khoản phải thu,(Tăng)/Giảm các khoản phải thu,09,565.747.216.731,687.908.588.648,9.0,565747216731.0,687908588648.0
(Tăng)/Giảm hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > (Tăng)/Giảm hàng tồn kho,(Tăng)/Giảm hàng tồn kho,10,93.667.244.305,21.954.427.053,10.0,93667244305.0,21954427053.0
Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),Tăng/(Giảm) các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp),11,(3.336.695.985),103.050.228.404,11.0,-3336695985.0,103050228404.0
(Tăng)/Giảm chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > (Tăng)/Giảm chi phí trả trước,(Tăng)/Giảm chi phí trả trước,12,(712.374.594.104),(565.172.299.436),12.0,-712374594104.0,-565172299436.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(830.760.683.946),(3.582.666.667),14.0,-830760683946.0,-3582666667.0
Tiền thu khác từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,10.570.404.544,60.000.000,16.0,10570404544.0,60000000.0
Tiền chi khác cho hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(14.024.109.830),(371.700.000),17.0,-14024109830.0,-371700000.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG SXKD > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,2.796.779.674.435,37.757.798.674,20.0,2796779674435.0,37757798674.0
