row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ SH VND,Thặng dư vốn cổ phần VND,Chênh lệch đánh giá lại TS VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,LICĐ không kiểm soát VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ SH VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch đánh giá lại TS VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__LICĐ không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 15/01/2016,Số dư tại ngày 15/01/2016,Số dư tại ngày 15/01/2016,6.436.967.325.797,18.746.488,313.922.583.745,18.017.398.052,(898.486.815.948),118.600.812.157,5.989.040.050.291,6436967325797.0,18746488.0,313922583745.0,18017398052.0,-898486815948.0,118600812157.0,5989040050291.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,21.915.000.000,-,-,-,-,-,21.915.000.000,21915000000.0,,,,,,21915000000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,471.358.203.606,42.455.174.533,513.813.378.139,,,,,471358203606.0,42455174533.0,513813378139.0
Tăng khác,Tăng khác,Tăng khác,571.667.635.538,-,(570.597.908.525),(1.069.727.013),-,-,-,571667635538.0,,-570597908525.0,-1069727013.0,,,
Lỗ trong năm nay,Lỗ trong năm nay,Lỗ trong năm nay,-,-,-,-,-,-,-,,,,,,,
Giảm khác,Lỗ trong năm nay > Giảm khác,Giảm khác,(230.549.961.335),(3.640.600.000),254.827.121.188,-,(24.277.159.853),-,(3.640.600.000),-230549961335.0,-3640600000.0,254827121188.0,,-24277159853.0,,-3640600000.0
Số dư cuối năm nay,Lỗ trong năm nay > Số dư cuối năm nay,Số dư cuối năm nay,6.800.000.000.000,(3.621.853.512),(1.848.203.592),16.947.671.039,(451.405.772.195),161.055.986.690,6.521.127.828.430,6800000000000.0,-3621853512.0,-1848203592.0,16947671039.0,-451405772195.0,161055986690.0,6521127828430.0
