row_label_raw,row_label_full,col_0,col_1,15/01/2016(VND) > Giá trị,15/01/2016(VND) > Khả năngtrà nợ,31/12/2016(VND) > Giá trị,31/12/2016(VND) > Khả năngtrà nợ,numeric__col_1,numeric__15/01/2016(VND) > Giá trị,numeric__15/01/2016(VND) > Khả năngtrà nợ,numeric__31/12/2016(VND) > Giá trị,numeric__31/12/2016(VND) > Khả năngtrà nợ
c.,c.,c.,Phân loại gốc vay dài hạn đến hạn trả tạithời điểm lập BCTC,1.892.634.255.399,1.892.634.255.399,2.114.072.507.353,2.114.072.507.353,,1892634255399.0,1892634255399.0,2114072507353.0,2114072507353.0
c.,c.,c.,Vay ngân hàng,197.174.115.096,197.174.115.096,941.439.768.601,941.439.768.601,,197174115096.0,197174115096.0,941439768601.0,941439768601.0
c.,c.,c.,Vay Tập đoàn,1.695.460.140.303,1.695.460.140.303,1.172.632.738.752,1.172.632.738.752,,1695460140303.0,1695460140303.0,1172632738752.0,1172632738752.0
d.,d.,d.,Số dư tại thời điểm lập BCTC,18.022.888.088.646,18.022.888.088.646,16.368.308.986.222,16.368.308.986.222,,18022888088646.0,18022888088646.0,16368308986222.0,16368308986222.0
d.1,d.1,d.1,Vay và nợ ngắn hạn (d.1 = a + c),2.522.408.999.823,2.522.408.999.823,2.575.736.674.483,2.575.736.674.483,,2522408999823.0,2522408999823.0,2575736674483.0,2575736674483.0
d.2,d.2,d.2,Vay và nợ dài hạn (d.2 = b - c),15.500.479.088.823,15.500.479.088.823,13.792.572.311.739,13.792.572.311.739,,15500479088823.0,15500479088823.0,13792572311739.0,13792572311739.0
,,,,15/01/2016(VND),15/01/2016(VND),31/12/2016(VND),31/12/2016(VND),,,,,
,,,,Giá trị,Khả năngtrà nợ,Giá trị,Khả năngtrà nợ,,,,,
e.,e.,e.,Thuyết minh chỉ tiết về các khoản vay và nợthuê tài chính đối với các bên liên quan,11.558.100.955.271,11.558.100.955.271,9.969.962.002.325,9.969.962.002.325,,11558100955271.0,11558100955271.0,9969962002325.0,9969962002325.0
e.,e.,e.,Tập đoàn Công nghiệp Than - Khoáng sản ViệtNam – Vinacomin,11.558.100.955.271,11.558.100.955.271,9.969.962.002.325,9.969.962.002.325,,11558100955271.0,11558100955271.0,9969962002325.0,9969962002325.0
e.,e.,e.,Vay và nợ ngắn hạn,1.695.460.140.303,1.695.460.140.303,1.172.632.738.752,1.172.632.738.752,,1695460140303.0,1695460140303.0,1172632738752.0,1172632738752.0
e.,e.,e.,Vay và nợ dài hạn,9.862.640.814.968,9.862.640.814.968,8.797.329.263.573,8.797.329.263.573,,9862640814968.0,9862640814968.0,8797329263573.0,8797329263573.0
e.,e.,e.,Cộng,11.558.100.955.271,11.558.100.955.271,9.969.962.002.325,9.969.962.002.325,,11558100955271.0,11558100955271.0,9969962002325.0,9969962002325.0
