row_label_raw,row_label_full,col_0,col_1,15/01/2016(VND) > Giá trị,15/01/2016(VND) > Khả năngtrà nợ,Tăng trong năm,Giảm trong năm,31/12/2016(VND) > Giá trị,31/12/2016(VND) > Khả năngtrà nợ,numeric__col_1,numeric__15/01/2016(VND) > Giá trị,numeric__15/01/2016(VND) > Khả năngtrà nợ,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__31/12/2016(VND) > Giá trị,numeric__31/12/2016(VND) > Khả năngtrà nợ
a.,a.,a.,Gốc vay ngắn hạn,629.774.744.424,629.774.744.424,2.268.519.038.549,2.436.629.615.843,461.664.167.130,461.664.167.130,,629774744424.0,629774744424.0,2268519038549.0,2436629615843.0,461664167130.0,461664167130.0
a.,a.,a.,Vay ngân hàng,608.478.150.254,608.478.150.254,2.267.909.038.549,2.415.653.021.673,460.734.167.130,460.734.167.130,,608478150254.0,608478150254.0,2267909038549.0,2415653021673.0,460734167130.0,460734167130.0
a.,a.,a.,Vay Tập đoàn,18.356.594.170,18.356.594.170,-,18.356.594.170,-,-,,18356594170.0,18356594170.0,,18356594170.0,,
a.,a.,a.,Vay đối tượng khác,2.940.000.000,2.940.000.000,610.000.000,2.620.000.000,930.000.000,930.000.000,,2940000000.0,2940000000.0,610000000.0,2620000000.0,930000000.0,930000000.0
b.,b.,b.,Gốc vay dài hạn,17.393.113.344.222,17.393.113.344.222,1.643.378.712.712,3.129.847.237.842,15.906.644.819.092,15.906.644.819.092,,17393113344222.0,17393113344222.0,1643378712712.0,3129847237842.0,15906644819092.0,15906644819092.0
+,+,+,Từ 1 năm đến 5 năm,151.014.654.169,151.014.654.169,10.571.684.505,135.180.457.742,26.405.880.932,26.405.880.932,,151014654169.0,151014654169.0,10571684505.0,135180457742.0,26405880932.0,26405880932.0
+,+,+,Vay ngân hàng,151.014.654.169,151.014.654.169,10.571.684.505,135.180.457.742,26.405.880.932,26.405.880.932,,151014654169.0,151014654169.0,10571684505.0,135180457742.0,26405880932.0,26405880932.0
+,+,+,Vay Tập đoàn,-,-,-,-,-,-,,,,,,,
+,+ > +,+,Trên 5 năm,17.242.098.690.053,17.242.098.690.053,1.632.807.028.207,2.994.666.780.100,15.880.238.938.160,15.880.238.938.160,,17242098690053.0,17242098690053.0,1632807028207.0,2994666780100.0,15880238938160.0,15880238938160.0
+,+ > +,+,Vay ngân hàng,5.702.354.328.952,5.702.354.328.952,1.440.722.795.338,1.232.800.188.455,5.910.276.935.835,5.910.276.935.835,,5702354328952.0,5702354328952.0,1440722795338.0,1232800188455.0,5910276935835.0,5910276935835.0
+,+ > +,+,Vay Tập đoàn,11.539.744.361.101,11.539.744.361.101,192.084.232.869,1.761.866.591.645,9.969.962.002.325,9.969.962.002.325,,11539744361101.0,11539744361101.0,192084232869.0,1761866591645.0,9969962002325.0,9969962002325.0
+,+ > +,+,Cộng,18.022.888.088.646,18.022.888.088.646,3.911.897.751.261,5.566.476.853.685,16.368.308.986.222,16.368.308.986.222,,18022888088646.0,18022888088646.0,3911897751261.0,5566476853685.0,16368308986222.0,16368308986222.0
