row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2016,15/01/2016,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016,numeric__15/01/2016
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,2.437.298.720.880,2.798.604.435.148,100.0,,2437298720880.0,2798604435148.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,,350.352.719.847,74.664.858.126,110.0,,350352719847.0,74664858126.0
Tiền,Tiền,Tiền,111,5.1,64.352.719.847,74.664.858.126,111.0,51.0,64352719847.0,74664858126.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,286.000.000.000,-,112.0,,286000000000.0,
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,5.2,-,-,120.0,52.0,,
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,1.898.876.234.387,2.486.308.033.415,130.0,,1898876234387.0,2486308033415.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5.3,1.832.575.830.816,2.360.955.159.129,131.0,53.0,1832575830816.0,2360955159129.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,132,,17.549.288.486,27.732.015.075,132.0,,17549288486.0,27732015075.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,,-,-,135.0,,,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,5.4,53.980.161.995,97.787.792.867,136.0,54.0,53980161995.0,97787792867.0
DP các khoản phải thu ngắn hạn khó đòi (*),DP các khoản phải thu ngắn hạn khó đòi (*),DP các khoản phải thu ngắn hạn khó đòi (*),137,5.5,(5.229.046.910),(166.933.656),137.0,55.0,-5229046910.0,-166933656.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,5.6,115.105.356.004,181.584.769.112,140.0,56.0,115105356004.0,181584769112.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,115.427.528.420,181.908.867.414,141.0,,115427528420.0,181908867414.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(322.172.416),(324.098.302),149.0,,-322172416.0,-324098302.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,72.964.410.642,56.046.774.495,150.0,,72964410642.0,56046774495.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,5.10,5.586.368.092,4.584.888.988,151.0,510.0,5586368092.0,4584888988.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,52.899.495.056,44.622.249.522,152.0,,52899495056.0,44622249522.0
Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,153,5.13,14.478.547.494,6.839.635.985,153.0,513.0,14478547494.0,6839635985.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,155,,-,-,155.0,,,
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,24.217.128.695.044,25.492.741.250.130,200.0,,24217128695044.0,25492741250130.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,7.654.741.378,6.948.429.378,210.0,,7654741378.0,6948429378.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,,-,-,215.0,,,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,5.4,7.654.741.378,6.948.429.378,216.0,54.0,7654741378.0,6948429378.0
