row_label_raw,row_label_full,col_0,col_1,Từ 15/01/2016đến 31/12/2016(VND),Từ 01/01/2016đến 14/01/2016(VND),numeric__col_1,numeric__Từ 15/01/2016đến 31/12/2016(VND),numeric__Từ 01/01/2016đến 14/01/2016(VND)
a.,a.,a.,Chi phí quản lý doanh nghiệp,203.511.574.146,5.725.932.594,,203511574146.0,5725932594.0
a.,a.,a.,Chi phí nhân viên quản lý,96.918.067.422,2.691.072.612,,96918067422.0,2691072612.0
a.,a.,a.,Chi phí khấu hao,16.813.041.253,567.908.001,,16813041253.0,567908001.0
a.,a.,a.,Dịch vụ mua ngoài,13.580.719.584,347.163.161,,13580719584.0,347163161.0
a.,a.,a.,Các khoản khác,76.199.745.887,2.119.788.820,,76199745887.0,2119788820.0
b.,b.,b.,Chi phí bán hàng,2.015.565.664,-,,2015565664.0,
b.,b.,b.,Chi phí nhân viên,347.768.895,-,,347768895.0,
b.,b.,b.,"Chi phí nguyên liệu, vật liệu",632.304.967,-,,632304967.0,
b.,b.,b.,Các khoản khác,1.035.491.802,-,,1035491802.0,
c.,c.,c.,Các khoản ghi giảm chi phí bán hàng và Chi phí quản lý doanh nghiệp,-,-,,,
c.,c. > c.,c.,Cộng,205.527.139.810,5.725.932.594,,205527139810.0,5725932594.0
