row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy vi tính VND,TSCĐVH Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính VND,numeric__TSCĐVH Khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,36.478.769.295,1.729.625.579,227.726.364,38.436.121.238,36478769295.0,1729625579.0,227726364.0,38436121238.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,1.085.000.000,-,1.085.000.000,,1085000000.0,,1085000000.0
- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,-,-,-,-,,,,
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,,,,
- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,-,-,-,-,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,-,,,,
- Giảm khác,"- Thanh lý, nhượng bán > - Giảm khác",- Giảm khác,(7.246.971.480),-,-,(7.246.971.480),-7246971480.0,,,-7246971480.0
Số dư cuối năm,"- Thanh lý, nhượng bán > Số dư cuối năm",Số dư cuối năm,29.231.797.815,2.814.625.579,227.726.364,32.274.149.758,29231797815.0,2814625579.0,227726364.0,32274149758.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,716.713.123,977.465.195,116.224.546,1.810.402.864,716713123.0,977465195.0,116224546.0,1810402864.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,993.914.394,332.426.067,25.248.356,1.351.588.817,993914394.0,332426067.0,25248356.0,1351588817.0
- Tăng khác,- Tăng khác,- Tăng khác,,-,-,-,,,,
- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,,-,-,-,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,-,-,-,,,,
- Giảm khác,- Giảm khác,- Giảm khác,,-,-,-,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,1.710.627.517,1.309.891.262,141.472.902,3.161.991.681,1710627517.0,1309891262.0,141472902.0,3161991681.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,35.762.056.172,752.160.384,111.501.818,36.625.718.374,35762056172.0,752160384.0,111501818.0,36625718374.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,27.521.170.298,1.504.734.317,86.253.462,29.112.158.077,27521170298.0,1504734317.0,86253462.0,29112158077.0
