row_label_raw,row_label_full,col_0,col_1,31/12/2016(VND),15/01/2016(VND),numeric__col_1,numeric__31/12/2016(VND),numeric__15/01/2016(VND)
a.,a.,a.,Ngắn hạn,5.586.368.092,4.584.888.988,,5586368092.0,4584888988.0
a.,a.,a.,"Công cụ, dụng cụ xuất dùng",4.904.987.066,3.043.847.270,,4904987066.0,3043847270.0
a.,a.,a.,Chi phí bảo hiểm,456.298.085,1.210.693.113,,456298085.0,1210693113.0
a.,a.,a.,Chi phí trả trước ngắn hạn khác,225.082.941,330.348.605,,225082941.0,330348605.0
b.,b.,b.,Dài hạn,1.342.150.083.112,630.776.968.112,,1342150083112.0,630776968112.0
b.,b.,b.,Tiền thuê nhà trả trước nhiều năm,3.594.516.480,7.189.032.960,,3594516480.0,7189032960.0
b.,b.,b.,Chi phí bảo hiểm,5.893.490.441,330.173.317,,5893490441.0,330173317.0
b.,b.,b.,Công cụ dụng cụ phân bổ nhiều năm,1.561.023.195,3.560.465.633,,1561023195.0,3560465633.0
b.,b.,b.,Chi phí sửa chữa lớn chờ phân bổ,142.123.053.339,53.580.993.164,,142123053339.0,53580993164.0
b.,b.,b.,Chi phí đào tạo vận hành,910.711.270,1.787.148.473,,910711270.0,1787148473.0
b.,b.,b.,Chi phí giai đoạn triển khai không đủ tiêu chuẩn ghi nhận TSCĐ vô hình,32.185.394.733,-,,32185394733.0,
b.,b.,b.,Lỗ chênh lệch tỷ giá phân bổ 5 năm,1.155.085.021.236,563.867.266.554,,1155085021236.0,563867266554.0
b.,b.,b.,Chi phí trả trước dài hạn khác,796.872.418,461.888.011,,796872418.0,461888011.0
b.,b.,b.,Cộng,1.347.736.451.204,635.361.857.100,,1347736451204.0,635361857100.0
