row_label_raw,row_label_full,col_0,15/01/2016(VND),Số phải nộp trong năm,Số đã thực nộp trong năm,31/12/2016(VND),numeric__15/01/2016(VND),numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__31/12/2016(VND)
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,72.244.057.877,236.057.917.553,295.275.065.698,13.026.909.732,72244057877.0,236057917553.0,295275065698.0,13026909732.0
Thuế xuất nhập khẩu,Phải nộp > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,3.292,2.363.169.737,2.363.173.029,-,3292.0,2363169737.0,2363173029.0,
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,261.340.942,1.381.006.241,1.320.047.603,322.299.580,261340942.0,1381006241.0,1320047603.0,322299580.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,483.693.193,51.373.187.018,49.955.837.369,1.901.042.842,483693193.0,51373187018.0,49955837369.0,1901042842.0
Thuế đất và tiền thuê đất,Phải nộp > Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,-,10.354.429.777,4.016.808.894,6.337.620.883,,10354429777.0,4016808894.0,6337620883.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,851.680.941,851.680.941,-,,851680941.0,851680941.0,
"Các khoản phí, lệ phí và các khoản phải nộp khác","Phải nộp > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",6.485.328,22.409.144.362,18.555.858.623,3.859.771.067,6485328.0,22409144362.0,18555858623.0,3859771067.0
Cộng,Phải nộp > Cộng,Cộng,72.995.580.632,324.790.535.629,372.338.472.157,25.447.644.104,72995580632.0,324790535629.0,372338472157.0,25447644104.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,255.542.742,15.368.079.972,26.144.612.355,11.032.075.125,255542742.0,15368079972.0,26144612355.0,11032075125.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,413.904.592,-,-,413.904.592,413904592.0,,,413904592.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,418.152.244,301.573.662,7.137.356,123.715.938,418152244.0,301573662.0,7137356.0,123715938.0
Thuế tài nguyên,Phải thu > Thuế tài nguyên,Thuế tài nguyên,4.158.383.440,4.158.383.440,-,-,4158383440.0,4158383440.0,,
Thuế đất và tiền thuê đất,Phải thu > Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,-,19.696.106,1.295.142.249,1.275.446.143,,19696106.0,1295142249.0,1275446143.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,1.593.652.967,12.603.395.489,12.629.870.986,1.620.128.464,1593652967.0,12603395489.0,12629870986.0,1620128464.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Phải thu > Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",-,26.640.471,39.917.703,13.277.232,,26640471.0,39917703.0,13277232.0
Cộng,Phải thu > Cộng,Cộng,6.839.635.985,32.477.769.140,40.116.680.649,14.478.547.494,6839635985.0,32477769140.0,40116680649.0,14478547494.0
