row_label_raw,row_label_full,NGUÔN VÔN,Mã số,Thuyết minh,31/12/2016,15/01/2016,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016,numeric__15/01/2016
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,20.126.380.337.651,22.294.397.920.880,300.0,,20126380337651.0,22294397920880.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,4.676.219.828.237,5.170.878.547.706,310.0,,4676219828237.0,5170878547706.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,5.11,1.648.288.783.056,2.132.966.795.957,311.0,511.0,1648288783056.0,2132966795957.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,92.425.455,5.488.785.442,312.0,,92425455.0,5488785442.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,5.13,25.447.644.104,72.995.580.632,313.0,513.0,25447644104.0,72995580632.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,60.386.904.363,74.410.846.416,314.0,,60386904363.0,74410846416.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,5.14,293.101.469.315,272.647.353.032,315.0,514.0,293101469315.0,272647353032.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,5.15,49.785.256.863,68.679.643.132,319.0,515.0,49785256863.0,68679643132.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,5.12,2.575.736.674.483,2.522.408.999.823,320.0,512.0,2575736674483.0,2522408999823.0
Quỹ khen thưởng và phúc lợi,Quỹ khen thưởng và phúc lợi,Quỹ khen thưởng và phúc lợi,322,,23.380.670.598,21.280.543.272,322.0,,23380670598.0,21280543272.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,15.450.160.509.414,17.123.519.373.174,330.0,,15450160509414.0,17123519373174.0
