row_label_raw,row_label_full,The nagy 15/01/2016 den nagy 3/1/12/2016,The nagy 15/01/2016 den nagy 3/1/12/2016_1,The nagy 15/01/2016 den nagy 3/1/12/2016_2,The nagy 15/01/2016 den nagy 3/1/12/2016_3,The nagy 15/01/2016 den nagy 3/1/12/2016_4,numeric__The nagy 15/01/2016 den nagy 3/1/12/2016_1,numeric__The nagy 15/01/2016 den nagy 3/1/12/2016_2,numeric__The nagy 15/01/2016 den nagy 3/1/12/2016_3,numeric__The nagy 15/01/2016 den nagy 3/1/12/2016_4
Down thu,Down thu,Down thu,131.456.990.630,9.202.022.945.515,50.833.603.080,9.384.313.539.225,131456990630.0,9202022945515.0,50833603080.0,9384313539225.0
Cac known qiam tiny,Cac known qiam tiny,Cac known qiam tiny,-,-,-,-,,,,
Gia von hang ban,Cac known qiam tiny > Gia von hang ban,Gia von hang ban,65.062.203.753,7.919.519.232.941,44.780.063.713,8.029.361.500.407,65062203753.0,7919519232941.0,44780063713.0,8029361500407.0
Lofi ihnuan gop,Cac known qiam tiny > Lofi ihnuan gop,Lofi ihnuan gop,66.394.786.877,1.282.503.712.574,6.053.539.367,1.354.952.038.818,66394786877.0,1282503712574.0,6053539367.0,1354952038818.0
