row_label_raw,row_label_full,(i),Phải thu khác tại ngày 31/12/2016 bao gồm,31/12/2016(VND),numeric__Phải thu khác tại ngày 31/12/2016 bao gồm,numeric__31/12/2016(VND)
,,,Phải thu tiền vật tư nhà thầu SEFCO,4.532.276.360,,4532276360.0
,,,Thuế nhập khẩu thiết bị nộp hộ nhà thầu,1.945.463.773,,1945463773.0
,,,Tiền giải phóng mặt bằng - TT phát triển quỹ đất huyện Đắk R'Lắp,1.420.905.880,,1420905880.0
,,,Tạm ứng,1.689.997.760,,1689997760.0
,,,CN TCT Đông Bắc - Công ty Đầu tư xây dựng và thương mại,1.010.000.000,,1010000000.0
,,,Phải thu tiền cổ tức Công ty cổ phần Nhiệt điện Hải Phòng,7.210.000.000,,7210000000.0
,,,Công ty cổ phần Đầu tư và Xây dựng – VVMI,1.000.000.000,,1000000000.0
,,,Công ty TNHH một thành viên môi trường – TKV,1.250.000.000,,1250000000.0
,,,Thuế GTGT tạm nhận nợ với Cty TNHH Công trình Điện Cáp Nhĩ Tân,3.835.791.547,,3835791547.0
,,,Thuế GTGT chưa kê khai khấu trừ tại NĐ Cẩm Phả,17.994.102.923,,17994102923.0
,,,Phải thu tiền than không đủ chất lượng,5.701.943.699,,5701943699.0
,,,Các khoản khác,5.072.330.253,,5072330253.0
,,,Cộng,52.662.812.195,,52662812195.0
