row_label_raw,row_label_full,col_0,Quyền sử dụngđất và nhà cửaVND,numeric__Quyền sử dụngđất và nhà cửaVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,258.833.974.282,258833974282.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,445.115.073,445115073.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,259.279.089.355,259279089355.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,32.026.448.282,32026448282.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,13.511.580.589,13511580589.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,45.538.028.871,45538028871.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,226.807.526.000,226807526000.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,213.741.060.484,213741060484.0
