row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Quỹ dự phòng tài chính VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ dự phòng tài chính VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2014,Số dư tại ngày 1/1/2014,Số dư tại ngày 1/1/2014,556.873.990.000,33.084.909.500,(3.030.000),17.418.867.595,23.516.835.886,113.722.439.184,744.614.012.165,556873990000.0,33084909500.0,-3030000.0,17418867595.0,23516835886.0,113722439184.0,744614012165.0
Tăng vốn,Tăng vốn,Tăng vốn,94.668.060.000,(33.084.909.500),-,(17.418.867.595),-,(44.164.282.905),-,94668060000.0,-33084909500.0,,-17418867595.0,,-44164282905.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,100.514.526.884,100.514.526.884,,,,,,100514526884.0,100514526884.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(27.842.821.250),(27.842.821.250),,,,,,-27842821250.0,-27842821250.0
Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,-,-,(3.180.000),-,-,-,(3.180.000),,,-3180000.0,,,,-3180000.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(4.286.642.745),(4.286.642.745),,,,,,-4286642745.0,-4286642745.0
Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,-,-,-,-,-,(8.905.370.250),(8.905.370.250),,,,,,-8905370250.0,-8905370250.0
Số dư tại ngày 1/1/2015 - đã báo cáo trước đây,Số dư tại ngày 1/1/2015 - đã báo cáo trước đây,Số dư tại ngày 1/1/2015 - đã báo cáo trước đây,651.542.050.000,-,(6.210.000),-,23.516.835.886,129.037.848.918,804.090.524.804,651542050000.0,,-6210000.0,,23516835886.0,129037848918.0,804090524804.0
Phân loại lại (Thuyết minh 33),Phân loại lại (Thuyết minh 33),Phân loại lại (Thuyết minh 33),-,-,-,23.516.835.886,(23.516.835.886),-,-,,,,23516835886.0,-23516835886.0,,
Số dư tại ngày 1/1/2015 – phân loại lại,Số dư tại ngày 1/1/2015 – phân loại lại,Số dư tại ngày 1/1/2015 – phân loại lại,651.542.050.000,-,(6.210.000),23.516.835.886,-,129.037.848.918,804.090.524.804,651542050000.0,,-6210000.0,23516835886.0,,129037848918.0,804090524804.0
Tăng vốn (Thuyết minh 22),Tăng vốn (Thuyết minh 22),Tăng vốn (Thuyết minh 22),32.576.790.000,-,-,-,-,(32.576.790.000),-,32576790000.0,,,,,-32576790000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,69.982.507.676,69.982.507.676,,,,,,69982507676.0,69982507676.0
Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,-,-,(2.350.000),-,-,-,(2.350.000),,,-2350000.0,,,,-2350000.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(4.020.000.000),(4.020.000.000),,,,,,-4020000000.0,-4020000000.0
Số dư tại 31/12/2015,Số dư tại 31/12/2015,Số dư tại 31/12/2015,684.118.840.000,-,(8.560.000),23.516.835.886,-,162.423.566.594,870.050.682.480,684118840000.0,,-8560000.0,23516835886.0,,162423566594.0,870050682480.0
