row_label_raw,row_label_full,col_0,1/1/2015(phân loại)VND,1/1/2015(theo báo cáotrước đây)VND,numeric__1/1/2015(phân loại)VND,numeric__1/1/2015(theo báo cáotrước đây)VND
Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,-,54.308.656.421,,54308656421.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,3.221.745.749,-,3221745749.0,
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,23.558.728.515,-,23558728515.0,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,27.528.182.157,-,27528182157.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,19.619.119.275,-,19619119275.0,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,-,8.858.151.167,,8858151167.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,10.760.968.108,,10760968108.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,-,23.516.835.886,,23516835886.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,23.516.835.886,-,23516835886.0,
