row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Đã phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Đã phân loại lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,909.473.757.428,943.095.297.284,100.0,,909473757428.0,943095297284.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,407.527.743.160,223.374.993.415,110.0,5.0,407527743160.0,223374993415.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,253.937.743.160,78.374.993.415,111.0,,253937743160.0,78374993415.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,153.590.000.000,145.000.000.000,112.0,,153590000000.0,145000000000.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,20.502.601.464,26.780.474.264,120.0,,20502601464.0,26780474264.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,6(a),3.422.062.749,3.221.745.749,121.0,,3422062749.0,3221745749.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,6(b),17.080.538.715,23.558.728.515,123.0,,17080538715.0,23558728515.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,111.611.532.448,158.912.789.334,130.0,,111611532448.0,158912789334.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,7,53.323.671.155,73.643.193.194,131.0,7.0,53323671155.0,73643193194.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,48.325.956.905,39.829.794.708,132.0,,48325956905.0,39829794708.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,8(a),,27.528.182.157,135.0,,,27528182157.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,9,14.141.278.478,19.619.119.275,136.0,9.0,14141278478.0,19619119275.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,10,(4.179.374.090),(1.707.500.000),137.0,10.0,-4179374090.0,-1707500000.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,11,339.121.771.539,531.078.637.444,140.0,11.0,339121771539.0,531078637444.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,339.121.771.539,531.078.637.444,141.0,,339121771539.0,531078637444.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,30.710.108.817,2.948.402.827,150.0,,30710108817.0,2948402827.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,26.152.257.945,2.781.047.645,152.0,,26152257945.0,2781047645.0
Thuế và các khoản khác phải thu Nhà nước,TÀI SẢN > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,17(a),4.557.850.872,167.355.182,153.0,,4557850872.0,167355182.0
