row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.332.043.322,87.740.736,8.518.743.995,2.204.739.562,21.143.267.615,10332043322.0,87740736.0,8518743995.0,2204739562.0,21143267615.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,56.535.273,-,-,-,56.535.273,56535273.0,,,,56535273.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(456.173.086),-,(456.173.086),,,-456173086.0,,-456173086.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,10.388.578.595,87.740.736,8.062.570.909,2.204.739.562,20.743.629.802,10388578595.0,87740736.0,8062570909.0,2204739562.0,20743629802.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,7.732.947.202,86.209.486,7.793.642.899,1.578.533.570,17.191.333.157,7732947202.0,86209486.0,7793642899.0,1578533570.0,17191333157.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.214.997.475,1.531.250,659.703.263,141.213.796,2.017.445.784,1214997475.0,1531250.0,659703263.0,141213796.0,2017445784.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(437.165.876),-,(437.165.876),,,-437165876.0,,-437165876.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,8.947.944.677,87.740.736,8.016.180.286,1.719.747.366,18.771.613.065,8947944677.0,87740736.0,8016180286.0,1719747366.0,18771613065.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.599.096.120,1.531.250,725.101.096,626.205.992,3.951.934.458,2599096120.0,1531250.0,725101096.0,626205992.0,3951934458.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.440.633.918,-,46.390.623,484.992.196,1.972.016.737,1440633918.0,,46390623.0,484992196.0,1972016737.0
