row_label_raw,row_label_full,col_0,1/1/2015 VND,Số phải nộp trong năm VND,Số đã nộp trong năm VND,31/12/2015 VND,numeric__1/1/2015 VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp trong năm VND,numeric__31/12/2015 VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,4.557.850.872,4.557.850.872,,,4557850872.0,4557850872.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,167.355.182,(2.721.721.814),2.554.366.632,-,167355182.0,-2721721814.0,2554366632.0,
Thuế khác,Thuế khác,Thuế khác,-,(4.000.000),4.000.000,-,,-4000000.0,4000000.0,
,,,167.355.182,(2.725.721.814),7.116.217.504,4.557.850.872,167355182.0,-2725721814.0,7116217504.0,4557850872.0
