row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,"Nhà cửa,vật kiến trúcVND",TổngVND,numeric__Quyềnsử dụng đấtVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,-,7.859.289.977,7.859.289.977,,7859289977.0,7859289977.0
Chuyển từ tài sản cố định hữu hìnhvà tài sản cố định vô hình,Nguyên giá > Chuyển từ tài sản cố định hữu hìnhvà tài sản cố định vô hình,Chuyển từ tài sản cố định hữu hìnhvà tài sản cố định vô hình,12.072.940.855,25.930.398.214,38.003.339.069,12072940855.0,25930398214.0,38003339069.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,12.072.940.855,33.789.688.191,45.862.629.046,12072940855.0,33789688191.0,45862629046.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,4.681.018.789,4.681.018.789,,4681018789.0,4681018789.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,46.932.766,1.255.680.552,1.302.613.318,46932766.0,1255680552.0,1302613318.0
Chuyển từ tài sản cố định hữu hìnhvà tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hìnhvà tài sản cố định vô hình,Chuyển từ tài sản cố định hữu hìnhvà tài sản cố định vô hình,4.516.765.458,5.834.339.604,10.351.105.062,4516765458.0,5834339604.0,10351105062.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.563.698.224,11.771.038.945,16.334.737.169,4563698224.0,11771038945.0,16334737169.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,3.178.271.188,3.178.271.188,,3178271188.0,3178271188.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,7.509.242.631,22.018.649.246,29.527.891.877,7509242631.0,22018649246.0,29527891877.0
