row_label_raw,row_label_full,col_0,Share capital VND,Investment and development fund VND,Retained profits VND,Total VND,numeric__Share capital VND,numeric__Investment and development fund VND,numeric__Retained profits VND,numeric__Total VND
Balance as at 1 January 2020,Balance as at 1 January 2020,Balance as at 1 January 2020,"6,412,811,860,000","760,819,802,040","9,370,274,398,123","16,543,906,060,163",,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,"4,601,706,892,979","4,601,706,892,979",,,,
Dividends (Note 27),Dividends (Note 27),Dividends (Note 27),-,-,"(3,527,046,523,000)","(3,527,046,523,000)",,,,
Appropriation to bonus and welfare fund (Note 22),Appropriation to bonus and welfare fund (Note 22),Appropriation to bonus and welfare fund (Note 22),-,-,"(49,553,000,000)","(49,553,000,000)",,,,
Adjustments to bonus and welfare fund (Note 22),Adjustments to bonus and welfare fund (Note 22),Adjustments to bonus and welfare fund (Note 22),-,-,"20,704,495,849","20,704,495,849",,,,
Adjustments to social activities fund,Adjustments to social activities fund,Adjustments to social activities fund,-,-,"40,464,926,089","40,464,926,089",,,,
Balance as at 1 January 2021,Balance as at 1 January 2021,Balance as at 1 January 2021,"6,412,811,860,000","760,819,802,040","10,456,551,190,040","17,630,182,852,080",,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,"3,633,952,531,584","3,633,952,531,584",,,,
Dividends (Note 27),Dividends (Note 27),Dividends (Note 27),-,-,"(2,244,484,151,000)","(2,244,484,151,000)",,,,
Appropriation to bonus and welfare fund (Note 22),Appropriation to bonus and welfare fund (Note 22),Appropriation to bonus and welfare fund (Note 22),-,-,"(53,155,759,384)","(53,155,759,384)",,,,
Balance as at 31 December 2021,Balance as at 31 December 2021,Balance as at 31 December 2021,"6,412,811,860,000","760,819,802,040","11,792,863,811,240","18,966,495,473,280",,,,
