row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,6.412.811.860.000,760.819.802.040,9.370.274.398.123,16.543.906.060.163,6412811860000.0,760819802040.0,9370274398123.0,16543906060163.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,4.601.706.892.979,4.601.706.892.979,,,4601706892979.0,4601706892979.0
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,(3.527.046.523.000),(3.527.046.523.000),,,-3527046523000.0,-3527046523000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,(49.553.000.000),(49.553.000.000),,,-49553000000.0,-49553000000.0
"Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,20.704.495.849,20.704.495.849,,,20704495849.0,20704495849.0
Điều chỉnh quỹ công tác xã hội,Điều chỉnh quỹ công tác xã hội,Điều chỉnh quỹ công tác xã hội,-,-,40.464.926.089,40.464.926.089,,,40464926089.0,40464926089.0
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,6.412.811.860.000,760.819.802.040,10.456.551.190.040,17.630.182.852.080,6412811860000.0,760819802040.0,10456551190040.0,17630182852080.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,3.633.952.531.584,3.633.952.531.584,,,3633952531584.0,3633952531584.0
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,(2.244.484.151.000),(2.244.484.151.000),,,-2244484151000.0,-2244484151000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,(53.155.759.384),(53.155.759.384),,,-53155759384.0,-53155759384.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,6.412.811.860.000,760.819.802.040,11.792.863.811.240,18.966.495.473.280,6412811860000.0,760819802040.0,11792863811240.0,18966495473280.0
