row_label_raw,row_label_full,col_0,1/1/2021VND,IncurredVND,PaidVND,Net-offVND,31/12/2021VND,numeric__1/1/2021VND,numeric__IncurredVND,numeric__PaidVND,numeric__Net-offVND,numeric__31/12/2021VND
Special sales tax,Special sales tax,Special sales tax,"231,029,079,755","2,102,552,955,521","(2,081,730,283,956)",-,"251,851,751,320",,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"175,556,059,116","471,637,285,430","(450,125,220,241)",-,"197,068,124,305",,,,,
Value added tax,Value added tax,Value added tax,-,"3,982,536,431,417","(514,598,137,616)","(3,467,938,293,801)",-,,,,,
Personal income tax,Personal income tax,Personal income tax,"12,022,326,041","29,093,554,087","(30,659,566,719)",-,"10,456,313,409",,,,,
Import-export tax,Import-export tax,Import-export tax,-,"4,201,244,646","(4,201,244,646)",-,-,,,,,
Land tax and land leases,Land tax and land leases,Land tax and land leases,"1,581,049,815","30,567,143,684","(25,526,101,104)","(5,041,042,580)","1,581,049,815",,,,,
Natural resource taxes,Natural resource taxes,Natural resource taxes,"43,728,000","61,930,932","(100,818,452)",-,"4,840,480",,,,,
Other taxes,Other taxes,Other taxes,"1,175,770,000","3,274,135,517","(3,193,978,761)",-,"1,255,926,756",,,,,
,,,"421,408,012,727","6,623,924,681,234","(3,110,135,351,495)","(3,472,979,336,381)","462,218,006,085",,,,,
