row_label_raw,row_label_full,col_0,Code Note,Code Note_1,2021 VND,2020 VND,numeric__Code Note,numeric__Code Note_1,numeric__2021 VND,numeric__2020 VND
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,,
Payments for additions to fixed assets,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for additions to fixed assets,Payments for additions to fixed assets,21,,"(43,980,184,684)","(97,863,350,542)",21.0,,,
Proceeds from disposals of fixed assets,CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from disposals of fixed assets,Proceeds from disposals of fixed assets,22,,-,"552,000,000",22.0,,,
Placements of term deposits at banks,CASH FLOWS FROM INVESTING ACTIVITIES > Placements of term deposits at banks,Placements of term deposits at banks,23,,"(17,018,000,000,000)","(15,191,000,000,000)",23.0,,,
Collections of term deposits at banks,CASH FLOWS FROM INVESTING ACTIVITIES > Collections of term deposits at banks,Collections of term deposits at banks,24,,"14,708,000,000,000","13,073,000,000,000",24.0,,,
Proceeds from disposals of equity investments in other entities,CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from disposals of equity investments in other entities,Proceeds from disposals of equity investments in other entities,26,,"409,861,993,444",-,26.0,,,
Receipts of interests and dividends,CASH FLOWS FROM INVESTING ACTIVITIES > Receipts of interests and dividends,Receipts of interests and dividends,27,,"2,578,141,211,708","3,150,927,127,004",27.0,,,
Net cash flows from investing activities,CASH FLOWS FROM INVESTING ACTIVITIES > Net cash flows from investing activities,Net cash flows from investing activities,30,,"634,023,020,468","935,615,776,462",30.0,,,
CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,,,,
Payments of dividends,CASH FLOWS FROM FINANCING ACTIVITIES > Payments of dividends,Payments of dividends,36,,"(960,519,431,900)","(3,527,033,597,675)",36.0,,,
Net cash flows from financing activities,CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows from financing activities,Net cash flows from financing activities,40,,"(960,519,431,900)","(3,527,033,597,675)",40.0,,,
Net cash flows during the year (50 = 20 + 30 + 40),CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows during the year (50 = 20 + 30 + 40),Net cash flows during the year (50 = 20 + 30 + 40),50,,"1,624,700,110,965","(1,352,871,856,634)",50.0,,,
Cash and cash equivalents at the beginning of the year,CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,60,,"987,216,978,696","2,341,350,753,751",60.0,,,
Effect of exchange rate fluctuations on cash and cash equivalents,CASH FLOWS FROM FINANCING ACTIVITIES > Effect of exchange rate fluctuations on cash and cash equivalents,Effect of exchange rate fluctuations on cash and cash equivalents,61,,"(124,204,032)","(1,261,918,421)",61.0,,,
Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),70,6,"2,611,792,885,629","987,216,978,696",70.0,6.0,,
