row_label_raw,row_label_full,col_0,Code Note,2021 VND,2020 VND,numeric__Code Note,numeric__2021 VND,numeric__2020 VND
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,
Accounting profit before tax,CASH FLOWS FROM OPERATING ACTIVITIES > Accounting profit before tax,Accounting profit before tax,01,"4,084,223,584,911","5,205,642,035,515",1.0,,
Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,,,
Depreciation and amortisation,Adjustments for > Depreciation and amortisation,Depreciation and amortisation,02,"142,625,121,959","140,048,843,191",2.0,,
Allowances and provisions,Adjustments for > Allowances and provisions,Allowances and provisions,03,"(65,464,967,602)","34,824,599,252",3.0,,
Exchange (gains)/losses arising from revaluation of monetary items,Exchange (gains)/losses arising from revaluation of monetary items,Exchange (gains)/losses arising from revaluation of monetary items,Exchange (gains)/losses arising from revaluation of monetary items,Exchange (gains)/losses arising from revaluation of monetary items,Exchange (gains)/losses arising from revaluation of monetary items,,,
denominated in foreign currencies,Exchange (gains)/losses arising from revaluation of monetary items > denominated in foreign currencies,denominated in foreign currencies,04,"(1,812,117,301)","2,678,826,072",4.0,,
Profits from investing activities,Exchange (gains)/losses arising from revaluation of monetary items > Profits from investing activities,Profits from investing activities,05,"(2,796,966,975,472)","(3,156,225,268,657)",5.0,,
Reversal of science and technology development fund,Exchange (gains)/losses arising from revaluation of monetary items > Reversal of science and technology development fund,Reversal of science and technology development fund,07,"(73,817,939,085)",-,7.0,,
Operating profit before changes in working capital,Exchange (gains)/losses arising from revaluation of monetary items > Operating profit before changes in working capital,Operating profit before changes in working capital,08,"1,288,786,707,410","2,226,969,035,373",8.0,,
Change in receivables,Exchange (gains)/losses arising from revaluation of monetary items > Change in receivables,Change in receivables,09,"(70,369,420,502)","80,807,959,322",9.0,,
Change in inventories,Exchange (gains)/losses arising from revaluation of monetary items > Change in inventories,Change in inventories,10,"62,135,018,085","130,389,623,820",10.0,,
Change in payables and other liabilities,Exchange (gains)/losses arising from revaluation of monetary items > Change in payables and other liabilities,Change in payables and other liabilities,11,"1,107,019,550,966","(561,690,538,465)",11.0,,
Change in prepaid expenses,Exchange (gains)/losses arising from revaluation of monetary items > Change in prepaid expenses,Change in prepaid expenses,12,"62,348,566,431","(38,844,908,776)",12.0,,
,,,,"2,449,920,422,390","1,837,631,171,274",,,
Corporate income tax paid,Exchange (gains)/losses arising from revaluation of monetary items > Corporate income tax paid,Corporate income tax paid,15,"(450,125,220,241)","(516,357,059,917)",15.0,,
Other payments for operating activities,Exchange (gains)/losses arising from revaluation of monetary items > Other payments for operating activities,Other payments for operating activities,17,"(48,598,679,752)","(82,728,146,778)",17.0,,
Net cash flows from operating activities,Exchange (gains)/losses arising from revaluation of monetary items > Net cash flows from operating activities,Net cash flows from operating activities,20,"1,951,196,522,397","1,238,545,964,579",20.0,,
