row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2021VND,2020VND,,
Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"31,480,104,858","32,059,356,508",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"172,358,673,160","169,550,693,850",,
Dividends received,Dividends received,Dividends received,-,"4,827,480,000",,
Saigon - Songlam Beer Joint Stock Company,Saigon - Songlam Beer Joint Stock Company,Saigon - Songlam Beer Joint Stock Company,Saigon - Songlam Beer Joint Stock Company,Saigon - Songlam Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"439,268,576,686","425,787,238,848",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,419,291,500,330","1,408,261,885,870",,
Dividends received,Dividends received,Dividends received,"15,475,000,000","40,235,000,000",,
Others,Others,Others,"357,053,424","276,320,064",,
Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"328,752,632,413","305,161,583,445",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,075,395,166,830","1,057,477,212,270",,
Dividends received,Dividends received,Dividends received,"14,070,000,000","9,380,000,000",,
Others,Others,Others,"207,836,157","87,032,559",,
Sai Gon Beer Trading Company Limited,Sai Gon Beer Trading Company Limited,Sai Gon Beer Trading Company Limited,Sai Gon Beer Trading Company Limited,Sai Gon Beer Trading Company Limited,,
Sales of merchandise and finished goods (exclusive of special sales tax),Sales of merchandise and finished goods (exclusive of special sales tax),Sales of merchandise and finished goods (exclusive of special sales tax),"25,153,486,066,343","25,428,475,688,638",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"7,365,746,240","45,426,136,520",,
Transportation fees,Transportation fees,Transportation fees,"2,288,277,052","1,251,034,457",,
Pallets rental fees,Pallets rental fees,Pallets rental fees,"3,808,796,971","3,350,833,736",,
Bottles replacement fees,Bottles replacement fees,Bottles replacement fees,"5,687,349,622","11,023,393,450",,
Profits distribution,Profits distribution,Profits distribution,"900,698,382,856","1,117,950,228,190",,
Provision of services,Provision of services,Provision of services,"14,588,344,915","319,169,650",,
Others,Others,Others,"3,859,536","38,067,750",,
Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"174,072,086,572","163,783,210,037",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"9,650,560,810","11,377,770,822",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"2,322,172,310","1,404,229,080",,
Dividends received,Dividends received,Dividends received,"70,721,398,467","66,314,800,191",,
Others,Others,Others,"2,397,599,379","1,116,715,250",,
Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"102,934,743,505","78,856,285,101",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"8,812,036,024","13,037,991,098",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"3,032,760",-,,
Dividends received,Dividends received,Dividends received,"11,110,221,055","32,320,967,347",,
Others,Others,Others,"3,733,427,844","478,258,515",,
