row_label_raw,row_label_full,Company name,31/12/2021 > % of equity owned and voting right,31/12/2021 > Cost VND,31/12/2021 > Fair value VND,31/12/2021 > Allowance VND,1/1/2021 > % of equity owned and voting right,1/1/2021 > Cost VND,1/1/2021 > Fair value VND,1/1/2021 > Allowance VND,numeric__31/12/2021 > % of equity owned and voting right,numeric__31/12/2021 > Cost VND,numeric__31/12/2021 > Fair value VND,numeric__31/12/2021 > Allowance VND,numeric__1/1/2021 > % of equity owned and voting right,numeric__1/1/2021 > Cost VND,numeric__1/1/2021 > Fair value VND,numeric__1/1/2021 > Allowance VND
Truong Sa Food - Food Business Joint Stock Company,Truong Sa Food - Food Business Joint Stock Company,Truong Sa Food - Food Business Joint Stock Company,28.35%,"4,725,000,000",(*),"(4,725,000,000)",28.35%,"4,725,000,000",(*),"(4,725,000,000)",28.35,,,,28.35,,,
Sai Gon - Khanh Hoa Beer Joint Stock Company,Sai Gon - Khanh Hoa Beer Joint Stock Company,Sai Gon - Khanh Hoa Beer Joint Stock Company,26.00%,"26,000,000,000",(*),-,26.00%,"26,000,000,000",(*),-,26.0,,,,26.0,,,
Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,27.03%,"33,787,500,000","62,010,198,750",-,27.03%,"33,787,500,000","61,587,855,000",-,27.03,,,,27.03,,,
Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,32.22%,"103,174,711,495","410,661,400,100",-,32.22%,"103,174,711,495","402,967,509,700",-,32.22,,,,32.22,,,
Tan Thanh Investment Trading Company Limited,Tan Thanh Investment Trading Company Limited,Tan Thanh Investment Trading Company Limited,29.00%,"72,500,000,000",(*),"(72,500,000,000)",29.00%,"72,500,000,000",(*),"(72,500,000,000)",29.0,,,,29.0,,,
Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,20.00%,"30,000,000,000",(*),-,20.00%,"30,000,000,000",(*),-,20.0,,,,20.0,,,
Sai Gon - Kien Giang Beer Joint Stock Company,Sai Gon - Kien Giang Beer Joint Stock Company,Sai Gon - Kien Giang Beer Joint Stock Company,20.00%,"23,000,000,000",(*),"(11,327,228,802)",20.00%,"23,000,000,000",(*),-,20.0,,,,20.0,,,
Me Linh Point Limited,Me Linh Point Limited,Me Linh Point Limited,25.00%,"43,111,007,200",(*),-,25.00%,"43,111,007,200",(*),-,25.0,,,,25.0,,,
Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,30.00%,"113,224,326,586",(*),-,30.00%,"113,224,326,586",(*),-,30.0,,,,30.0,,,
Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,30.00%,"86,338,395,824",(*),-,30.00%,"86,338,395,824",(*),-,30.0,,,,30.0,,,
San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,35.00%,"26,212,239,000",(*),-,35.00%,"26,212,239,000",(*),-,35.0,,,,35.0,,,
