row_label_raw,row_label_full,col_0,Giá gốc/Số có khả năng trả nợ,Giá gốc/Số có khả năng trả nợ_1,numeric__Giá gốc/Số có khả năng trả nợ,numeric__Giá gốc/Số có khả năng trả nợ_1
,,,31/12/2021VND,1/1/2021VND,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,320.450.501.735,111.749.766.641,320450501735.0,111749766641.0
Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm,Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm,204.862.877.426,137.636.197.021,204862877426.0,137636197021.0
Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,192.711.435.796,146.522.349.367,192711435796.0,146522349367.0
Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn Bắc Trung Bộ,124.202.130.816,55.257.345.458,124202130816.0,55257345458.0
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Bắc,123.155.250.805,101.663.164.343,123155250805.0,101663164343.0
Công ty Cổ phần Thương mại Bia Sài Gòn Tây Nguyên,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Tây Nguyên,Công ty Cổ phần Thương mại Bia Sài Gòn Tây Nguyên,106.970.678.791,63.379.993.941,106970678791.0,63379993941.0
Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,106.720.444.795,80.121.569.154,106720444795.0,80121569154.0
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,99.515.562.089,101.538.471.141,99515562089.0,101538471141.0
Công ty Cổ phần Thương mại Bia Sài Gòn Đông Bắc,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Đông Bắc,Công ty Cổ phần Thương mại Bia Sài Gòn Đông Bắc,84.777.769.165,55.549.402.077,84777769165.0,55549402077.0
Công ty Cổ phần Thương mại Bia Sài Gòn Miền Trung,Công ty con > Công ty Cổ phần Thương mại Bia Sài Gòn Miền Trung,Công ty Cổ phần Thương mại Bia Sài Gòn Miền Trung,82.782.310.744,41.737.255.474,82782310744.0,41737255474.0
Công ty Cổ phần Bia Sài Gòn - Lâm Đồng,Công ty con > Công ty Cổ phần Bia Sài Gòn - Lâm Đồng,Công ty Cổ phần Bia Sài Gòn - Lâm Đồng,30.836.301.628,25.415.899.983,30836301628.0,25415899983.0
Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Công ty con > Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,22.639.469.383,27.088.991.479,22639469383.0,27088991479.0
Công ty Cổ phần Bao bì Bia Sài Gòn,Công ty con > Công ty Cổ phần Bao bì Bia Sài Gòn,Công ty Cổ phần Bao bì Bia Sài Gòn,21.320.165.900,23.575.609.200,21320165900.0,23575609200.0
Công ty Cổ phần Bia Sài Gòn - Hà Nội,Công ty con > Công ty Cổ phần Bia Sài Gòn - Hà Nội,Công ty Cổ phần Bia Sài Gòn - Hà Nội,13.738.467.546,20.632.774.536,13738467546.0,20632774536.0
Công ty Cổ phần Bia Sài Gòn - Sông Lam,Công ty con > Công ty Cổ phần Bia Sài Gòn - Sông Lam,Công ty Cổ phần Bia Sài Gòn - Sông Lam,12.390.270.124,22.927.468.916,12390270124.0,22927468916.0
Công ty TNHH Một Thành Viên Cơ khí Sa Be Co,Công ty con > Công ty TNHH Một Thành Viên Cơ khí Sa Be Co,Công ty TNHH Một Thành Viên Cơ khí Sa Be Co,9.783.653.016,10.343.309.664,9783653016.0,10343309664.0
"Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân","Công ty con > Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân","Công ty Cổ phần Bia, Rượu Sài Gòn - Đồng Xuân",7.465.509.571,13.340.109.200,7465509571.0,13340109200.0
Công ty TNHH Một Thành Viên Bia Sài Gòn - Hà Tĩnh,Công ty con > Công ty TNHH Một Thành Viên Bia Sài Gòn - Hà Tĩnh,Công ty TNHH Một Thành Viên Bia Sài Gòn - Hà Tĩnh,5.024.200.993,8.206.970.201,5024200993.0,8206970201.0
