row_label_raw,row_label_full,col_0,Land use rights VND,Buildings and structures VND,Total VND,numeric__Land use rights VND,numeric__Buildings and structures VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,,,
Opening balance,Opening balance,Opening balance,-,"7,859,289,977","7,859,289,977",,,
Transfer from tangible fixed assets and intangible fixed assets,Transfer from tangible fixed assets and intangible fixed assets,Transfer from tangible fixed assets and intangible fixed assets,"12,072,940,855","25,930,398,214","38,003,339,069",,,
Closing balance,Closing balance,Closing balance,"12,072,940,855","33,789,688,191","45,862,629,046",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
Opening balance,Opening balance,Opening balance,-,"4,681,018,789","4,681,018,789",,,
Charge for the year,Charge for the year,Charge for the year,"46,932,766","1,255,680,552","1,302,613,318",,,
Transfer from tangible fixed assets and intangible fixed assets,Transfer from tangible fixed assets and intangible fixed assets,Transfer from tangible fixed assets and intangible fixed assets,"4,516,765,458","5,834,339,604","10,351,105,062",,,
Closing balance,Closing balance,Closing balance,"4,563,698,224","11,771,038,945","16,334,737,169",,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,
Opening balance,Opening balance,Opening balance,-,"3,178,271,188","3,178,271,188",,,
Closing balance,Closing balance,Closing balance,"7,509,242,631","22,018,649,246","29,527,891,877",,,
