row_label_raw,row_label_full,col_0,31/12/2021,31/12/2021_1,31/12/2021_2,31/12/2021_3,31/12/2021_4,1/1/2021,1/1/2021_1,1/1/2021_2,numeric__31/12/2021,numeric__31/12/2021_1,numeric__31/12/2021_2,numeric__31/12/2021_3,numeric__31/12/2021_4,numeric__1/1/2021,numeric__1/1/2021_1,numeric__1/1/2021_2
,,,Overdue days,Cost VND,Allowance VND,Recoverable amount VND,Overdue days,Cost VND,Allowance VND,Recoverable amount VND,,,,,,,,
Prepayments to suppliers,Prepayments to suppliers,Prepayments to suppliers,Over 2 years,"3,674,748,890","(3,674,748,890)",-,Over 2 years,"3,694,748,890","(3,694,748,890)",-,,,,,,,,
Other short-term receivables,Other short-term receivables,Other short-term receivables,Over 2 years,"320,160,761,240","(320,160,761,240)",-,Over 2 years,"320,160,761,240","(320,160,761,240)",-,,,,,,,,
,,,,"323,835,510,130","(323,835,510,130)",-,,"323,855,510,130","(323,855,510,130)",-,,,,,,,,
