row_label_raw,row_label_full,col_0,Code Note,Code Note_1,31/12/2021VND,1/1/2021VND,numeric__Code Note,numeric__Code Note_1,numeric__31/12/2021VND,numeric__1/1/2021VND
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,,
Current assets(100 = 110 + 120 + 130 + 140 + 150),ASSETS > Current assets(100 = 110 + 120 + 130 + 140 + 150),Current assets(100 = 110 + 120 + 130 + 140 + 150),100,,"20,009,862,784,505","16,086,281,272,781",100.0,,,
Cash and cash equivalents,ASSETS > Cash and cash equivalents,Cash and cash equivalents,110,6,"2,611,792,885,629","987,216,978,696",110.0,6.0,,
Cash,ASSETS > Cash,Cash,111,,"91,792,885,629","42,216,978,696",111.0,,,
Cash equivalents,ASSETS > Cash equivalents,Cash equivalents,112,,"2,520,000,000,000","945,000,000,000",112.0,,,
Short-term financial investments,ASSETS > Short-term financial investments,Short-term financial investments,120,,"16,211,000,000,000","13,901,000,000,000",120.0,,,
Held-to-maturity investments,ASSETS > Held-to-maturity investments,Held-to-maturity investments,123,7,"16,211,000,000,000","13,901,000,000,000",123.0,7.0,,
Accounts receivable – short-term,ASSETS > Accounts receivable – short-term,Accounts receivable – short-term,130,,"771,967,844,932","662,414,849,228",130.0,,,
Accounts receivable from customers,ASSETS > Accounts receivable from customers,Accounts receivable from customers,131,8,"216,896,685,146","161,895,468,488",131.0,8.0,,
Prepayments to suppliers,ASSETS > Prepayments to suppliers,Prepayments to suppliers,132,,"8,498,629,359","4,110,874,165",132.0,,,
Other short-term receivables,ASSETS > Other short-term receivables,Other short-term receivables,136,9(a),"870,408,040,557","820,264,016,705",136.0,,,
Allowance for doubtful debts,ASSETS > Allowance for doubtful debts,Allowance for doubtful debts,137,10(a),"(323,835,510,130)","(323,855,510,130)",137.0,,,
Inventories,ASSETS > Inventories,Inventories,140,11(a),"318,407,089,213","382,893,733,879",140.0,,,
Inventories,ASSETS > Inventories,Inventories,141,,"346,164,192,220","406,785,122,406",141.0,,,
Allowance for inventories,ASSETS > Allowance for inventories,Allowance for inventories,149,,"(27,757,103,007)","(23,891,388,527)",149.0,,,
Other current assets,ASSETS > Other current assets,Other current assets,150,,"96,694,964,731","152,755,710,978",150.0,,,
Short-term prepaid expenses,ASSETS > Short-term prepaid expenses,Short-term prepaid expenses,151,12(a),"59,188,031,592","102,509,162,957",151.0,,,
Deductible value added tax,ASSETS > Deductible value added tax,Deductible value added tax,152,,"12,464,531,235","20,163,103,537",152.0,,,
Taxes receivable from State Treasury,ASSETS > Taxes receivable from State Treasury,Taxes receivable from State Treasury,153,19(b),"25,042,401,904","30,083,444,484",153.0,,,
