row_label_raw,row_label_full,col_0,Property held for future investment (*) VND,Returnable packaging VND,Tools and instruments and others VND,Total VND,numeric__Property held for future investment (*) VND,numeric__Returnable packaging VND,numeric__Tools and instruments and others VND,numeric__Total VND
Opening balance,Opening balance,Opening balance,"51,602,316,000","22,216,801,386","10,664,900,612","84,484,017,998",,,,
Additions,Additions,Additions,-,"2,567,056,800","2,428,323,244","4,995,380,044",,,,
Amortisation for the year,Amortisation for the year,Amortisation for the year,-,"(16,725,206,792)","(7,297,608,318)","(24,022,815,110)",,,,
Closing balance,Closing balance,Closing balance,"51,602,316,000","8,058,651,394","5,795,615,538","65,456,582,932",,,,
