row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịquản lýVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịquản lýVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,609.337.069.409,2.874.388.136.738,57.822.918.781,115.174.202.828,3.656.722.327.756,609337069409.0,2874388136738.0,57822918781.0,115174202828.0,3656722327756.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,9.283.462.135,2.930.000.000,460.640.000,12.674.102.135,,9283462135.0,2930000000.0,460640000.0,12674102135.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,16.133.925.737,-,-,16.133.925.737,,16133925737.0,,,16133925737.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(25.930.398.214),-,-,-,(25.930.398.214),-25930398214.0,,,,-25930398214.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,583.406.671.195,2.899.805.524.610,60.752.918.781,115.634.842.828,3.659.599.957.414,583406671195.0,2899805524610.0,60752918781.0,115634842828.0,3659599957414.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,436.351.610.398,2.430.109.252.470,50.740.473.821,90.111.393.055,3.007.312.729.744,436351610398.0,2430109252470.0,50740473821.0,90111393055.0,3007312729744.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,23.341.395.066,102.185.492.710,3.144.812.525,9.527.174.929,138.198.875.230,23341395066.0,102185492710.0,3144812525.0,9527174929.0,138198875230.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(5.834.339.604),-,-,-,(5.834.339.604),-5834339604.0,,,,-5834339604.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,453.858.665.860,2.532.294.745.180,53.885.286.346,99.638.567.984,3.139.677.265.370,453858665860.0,2532294745180.0,53885286346.0,99638567984.0,3139677265370.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,172.985.459.011,444.278.884.268,7.082.444.960,25.062.809.773,649.409.598.012,172985459011.0,444278884268.0,7082444960.0,25062809773.0,649409598012.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,129.548.005.335,367.510.779.430,6.867.632.435,15.996.274.844,519.922.692.044,129548005335.0,367510779430.0,6867632435.0,15996274844.0,519922692044.0
