row_label_raw,row_label_full,Company name,31/12/2021 > % of equity owned and voting right,31/12/2021 > Cost VND,31/12/2021 > Fair value VND,31/12/2021 > Allowance VND,1/1/2021 > % of equity owned and voting right,1/1/2021 > Cost VND,1/1/2021 > Fair value VND,1/1/2021 > Allowance VND,numeric__31/12/2021 > % of equity owned and voting right,numeric__31/12/2021 > Cost VND,numeric__31/12/2021 > Fair value VND,numeric__31/12/2021 > Allowance VND,numeric__1/1/2021 > % of equity owned and voting right,numeric__1/1/2021 > Cost VND,numeric__1/1/2021 > Fair value VND,numeric__1/1/2021 > Allowance VND
■ Western - Sai Gon Beer Joint Stock Company,■ Western - Sai Gon Beer Joint Stock Company,■ Western - Sai Gon Beer Joint Stock Company,51.00%,"100,424,933,209","377,758,785,000",-,51.00%,"100,424,933,209","333,477,525,000",-,51.0,,,,51.0,,,
■ Chuong Duong Beverages Joint Stock Company,■ Chuong Duong Beverages Joint Stock Company,■ Chuong Duong Beverages Joint Stock Company,62.06%,"236,167,400,000","111,543,800,000","(124,623,600,000)",62.06%,"236,167,400,000","125,223,700,000","(110,943,700,000)",62.06,,,,62.06,,,
■ Sai Gon - Quang Ngai Beer Joint Stock Company,■ Sai Gon - Quang Ngai Beer Joint Stock Company,■ Sai Gon - Quang Ngai Beer Joint Stock Company,66.56%,"299,548,230,160","796,849,700,000",-,66.56%,"299,548,230,160","573,093,250,000",-,66.56,,,,66.56,,,
■ Binh Tay Liquor Joint Stock Company,■ Binh Tay Liquor Joint Stock Company,■ Binh Tay Liquor Joint Stock Company,91.75%,"208,414,271,535",(*),-,91.75%,"208,414,271,535",(*),-,91.75,,,,91.75,,,
■ Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company,■ Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company,■ Sai Gon - Dong Xuan Beer Alcohol Joint Stock Company,51.24%,"17,650,697,182","43,472,385,150",-,51.24%,"17,650,697,182","41,500,350,000",-,51.24,,,,51.24,,,
■ Saigon - Nghetinh Beer Joint Stock Company,■ Saigon - Nghetinh Beer Joint Stock Company,■ Saigon - Nghetinh Beer Joint Stock Company,54.73%,"76,324,868,844","53,763,185,000","(22,561,683,844)",54.73%,"76,324,868,844","46,188,639,000","(30,136,229,844)",54.73,,,,54.73,,,
■ Saigon - Songlam Beer Joint Stock Company,■ Saigon - Songlam Beer Joint Stock Company,■ Saigon - Songlam Beer Joint Stock Company,68.78%,"314,250,000,000","368,305,000,000",-,68.78%,"314,250,000,000","306,466,900,000","(7,783,100,000)",68.78,,,,68.78,,,
■ Sai Gon - Ha Noi Beer Corporation,■ Sai Gon - Ha Noi Beer Corporation,■ Sai Gon - Ha Noi Beer Corporation,52.11%,"93,800,000,000","231,320,180,000",-,52.11%,"93,800,000,000","219,276,260,000",-,52.11,,,,52.11,,,
■ Sai Gon Beer Trading Company Limited,■ Sai Gon Beer Trading Company Limited,■ Sai Gon Beer Trading Company Limited,100%,"700,000,000,000",(*),-,100%,"700,000,000,000",(*),-,1.0,,,,1.0,,,
■ Northern Sai Gon Beer Trading Joint Stock Company,■ Northern Sai Gon Beer Trading Joint Stock Company,■ Northern Sai Gon Beer Trading Joint Stock Company,90.00%,"37,422,345,046",(*),-,90.00%,"37,422,345,046",(*),-,90.0,,,,90.0,,,
■ Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,■ Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,■ Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,95.07%,"37,369,732,632",(*),-,95.07%,"37,369,732,632",(*),-,95.07,,,,95.07,,,
■ Saigon Beer Center Trading Joint Stock Company,■ Saigon Beer Center Trading Joint Stock Company,■ Saigon Beer Center Trading Joint Stock Company,94.45%,"83,141,000,000",(*),-,94.45%,"83,141,000,000",(*),-,94.45,,,,94.45,,,
■ Saigon Beer Mien Trung Trading Joint Stock Company (formerly known as “Bia Saigon Mien Trung Trading Joint Stock Company”),■ Saigon Beer Mien Trung Trading Joint Stock Company (formerly known as “Bia Saigon Mien Trung Trading Joint Stock Company”),■ Saigon Beer Mien Trung Trading Joint Stock Company (formerly known as “Bia Saigon Mien Trung Trading Joint Stock Company”),91.24%,"54,546,288,176",(*),-,91.24%,"54,546,288,176",(*),-,91.24,,,,91.24,,,
