row_label_raw,row_label_full,No.,Company name,Registered head office,Principal activities,31/12/2021 > % of equity owned,31/12/2021 > % of voting rights,1/1/2021 > % of equity owned,1/1/2021 > % of voting rights,numeric__Company name,numeric__Registered head office,numeric__Principal activities,numeric__31/12/2021 > % of equity owned,numeric__31/12/2021 > % of voting rights,numeric__1/1/2021 > % of equity owned,numeric__1/1/2021 > % of voting rights
1,1,1,Indirect subsidiary through Western - Sai Gon Beer Joint Stock Company,Indirect subsidiary through Western - Sai Gon Beer Joint Stock Company,Indirect subsidiary through Western - Sai Gon Beer Joint Stock Company,Indirect subsidiary through Western - Sai Gon Beer Joint Stock Company,Indirect subsidiary through Western - Sai Gon Beer Joint Stock Company,Indirect subsidiary through Western - Sai Gon Beer Joint Stock Company,Indirect subsidiary through Western - Sai Gon Beer Joint Stock Company,,,,,,,
1,1 > 1,1,Saigon - Soc Trang Beer One Member Limited Company,"Lot S, An Nghiep Industrial Zone, An Hiep Commune, Chau Thanh District, Soc Trang Province, Vietnam","Producing and trading beer, yeasty malt, mineral water and bottled purified water",51.00%,100%,51.00%,100%,,,,51.0,1.0,51.0,1.0
1,1,1,Associates,Associates,Associates,Associates,Associates,Associates,Associates,,,,,,,
1,1 > 1,1,Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,"50A, Bui Thi Xuan Street, Ben Thanh Ward, District 1, Ho Chi Minh City, Vietnam",Providing consulting construction and designing services,28.57%,28.57%,28.57%,28.57%,,,,28.57,28.57,28.57,28.57
2,1 > 2,2,Mechanical and Industrial Construction Joint Stock Company,"3E/5, Pho Quang Street, Ward 2, Tan Binh District, Ho Chi Minh City, Vietnam","Manufacturing, installing machinery, bridges and roads and industrial construction products",26.00%,26.00%,26.00%,26.00%,,,,26.0,26.0,26.0,26.0
3,1 > 3,3,Saigon - Baclieu Beer Joint Stock Company,"Lot B5, Tra Kha Industrial Zone, Ward 8, Bac Lieu City, Bac Lieu Province, Vietnam","Producing and trading beer, alcohol and beverages",10.20%,20.00%,10.20%,20.00%,,,,10.2,20.0,10.2,20.0
4,1 > 4,4,Saigon Binh Tay Beer Group Joint Stock Company,"No. 8, Nam Ky Khoi Nghia Street, Nguyen Thai Binh Ward, District 1, Ho Chi Minh City, Vietnam","Producing, processing and trading food, beverage, beer and alcohol drinks",21.80%,22.18%,21.80%,22.18%,,,,21.8,22.18,21.8,22.18
5,1 > 5,5,Saigon Tay Do Beer - Beverage Joint Stock Company,"Lot 22, Tra Noc Industrial Zone, Tra Noc Ward, Binh Thuy District, Can Tho City, Vietnam","Producing and trading beer, alcohol, beverage, soya milk and fruit juice",27.62%,34.92%,27.62%,34.92%,,,,27.62,34.92,27.62,34.92
