row_label_raw,row_label_full,col_0,Code Note,Code Note_1,2021 VND,2020 VND,numeric__Code Note,numeric__Code Note_1,numeric__2021 VND,numeric__2020 VND
Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,01,29,"31,435,551,511,793","31,286,456,971,695",1.0,29.0,,
Revenue deductions,Revenue deductions,Revenue deductions,02,29,"32,465,756,702","3,562,953,416",2.0,29.0,,
Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),10,29,"31,403,085,755,091","31,282,894,018,279",10.0,29.0,,
Cost of goods sold and services provided,Cost of goods sold and services provided,Cost of goods sold and services provided,11,30,"26,921,488,472,056","26,512,305,697,464",11.0,30.0,,
Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),20,,"4,481,597,283,035","4,770,588,320,815",20.0,,,
Financial income,Financial income,Financial income,21,31,"2,824,549,493,438","3,197,236,331,395",21.0,31.0,,
Financial expenses,Financial expenses,Financial expenses,22,32,"(22,901,890,854)","42,934,716,459",22.0,32.0,,
Selling expenses,Selling expenses,Selling expenses,25,33,"3,074,938,843,294","2,388,495,253,345",25.0,33.0,,
General and administration expenses,General and administration expenses,General and administration expenses,26,34,"242,149,473,384","331,851,812,074",26.0,34.0,,
Net operating profit{30 = 20 + (21 - 22) - (25 + 26)},Net operating profit{30 = 20 + (21 - 22) - (25 + 26)},Net operating profit{30 = 20 + (21 - 22) - (25 + 26)},30,,"4,011,960,350,649","5,204,542,870,332",30.0,,,
Other income,Other income,Other income,31,,"75,326,057,345","4,026,980,652",31.0,,,
Other expenses,Other expenses,Other expenses,32,,"3,062,823,083","2,927,815,469",32.0,,,
Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),Results of other activities(40 = 31 - 32),40,,"72,263,234,262","1,099,165,183",40.0,,,
Accounting profit before tax(50 = 30 + 40),Accounting profit before tax(50 = 30 + 40),Accounting profit before tax(50 = 30 + 40),50,,"4,084,223,584,911","5,205,642,035,515",50.0,,,
Income tax expense – current,Income tax expense – current,Income tax expense – current,51,36,"471,637,285,430","577,119,284,322",51.0,36.0,,
Income tax (benefit)/expense – deferred,Income tax (benefit)/expense – deferred,Income tax (benefit)/expense – deferred,52,36,"(21,366,232,103)","26,815,858,214",52.0,36.0,,
Net profit after tax(60 = 50 - 51 - 52),Net profit after tax(60 = 50 - 51 - 52),Net profit after tax(60 = 50 - 51 - 52),60,,"3,633,952,531,584","4,601,706,892,979",60.0,,,
